horizon,size,mode,a,b,corr,agree_active,both_flat,redundant
medium,2,all,all(ma_crossover+macd),all(macd+ma_ribbon),0.8829321477819487,0.49319213313161875,False,True
medium,2,all,all(ma_crossover+ichimoku),all(ma_ribbon+ichimoku),0.9576742544582808,0.9265734265734266,False,True
medium,2,all,all(ma_crossover+ts_momentum),all(ma_ribbon+ts_momentum),0.9247451195875763,0.7997179125528914,False,True
medium,2,all,all(ma_crossover+dual_momentum),all(ma_ribbon+dual_momentum),0.9034909958685343,0.6104078762306611,False,True
medium,2,all,all(ma_crossover+sma_regime),all(ma_ribbon+sma_regime),0.932130042571381,0.8139880952380952,False,True
medium,2,all,all(ma_crossover+adx_trend),all(ma_ribbon+adx_trend),0.9835480482596949,0.9555555555555556,False,True
medium,2,all,all(ma_crossover+hurst_switch),all(ma_ribbon+hurst_switch),0.9647759077985664,0.7954545454545454,False,True
medium,2,all,all(ma_crossover+vol_regime),all(ma_ribbon+vol_regime),0.9287568465721023,0.7667638483965015,False,True
medium,2,all,all(ma_crossover+breakout),all(ma_ribbon+breakout),0.9338836600560877,0.7966101694915254,False,True
medium,2,all,all(ma_crossover+bb_breakout),all(ma_ribbon+bb_breakout),0.9408794158825154,0.7831050228310502,False,True
medium,2,all,all(ma_crossover+keltner),all(ma_ribbon+keltner),0.9756453598692717,0.9339622641509434,False,True
medium,2,all,all(ma_crossover+rsi),all(ma_ribbon+rsi),0.21762127982113114,0.015151515151515152,False,False
medium,2,all,all(ma_crossover+stochastic),all(ma_ribbon+stochastic),0.8751700034576085,0.5595238095238095,False,True
medium,2,all,all(ma_crossover+bb_reversion),all(ma_crossover+zscore),0.9600719972761089,0.926605504587156,False,True
medium,2,all,all(ma_crossover+bb_reversion),all(ma_ribbon+bb_reversion),0.8323354043875786,0.47186147186147187,False,True
medium,2,all,all(ma_crossover+bb_reversion),all(ma_ribbon+zscore),0.8018676027567857,0.463302752293578,False,True
medium,2,all,all(ma_crossover+zscore),all(ma_ribbon+bb_reversion),0.7925896879674507,0.43722943722943725,False,False
medium,2,all,all(ma_crossover+zscore),all(ma_ribbon+zscore),0.8378553563517338,0.48095238095238096,False,True
medium,2,all,all(ma_ribbon+bb_reversion),all(ma_ribbon+zscore),0.9446885493082695,0.9090909090909091,False,True
medium,2,all,all(ma_crossover+vwap_reversion),all(ma_ribbon+vwap_reversion),0.8807150080985393,0.5882352941176471,False,True
medium,2,all,all(ma_crossover+ou_reversion),all(ma_ribbon+ou_reversion),0.8654810587198462,0.4666666666666667,False,True
medium,2,all,all(ma_crossover+obv_trend),all(ma_ribbon+obv_trend),0.9043792693901698,0.6082474226804123,False,True
medium,2,all,all(macd+bb_reversion),all(macd+zscore),0.9948534942093615,0.9903846153846154,False,True
medium,2,all,all(ichimoku+bb_reversion),all(ichimoku+zscore),1.0,1.0,False,True
medium,2,all,all(ts_momentum+bb_reversion),all(ts_momentum+zscore),1.0,1.0,False,True
medium,2,all,all(dual_momentum+bb_reversion),all(dual_momentum+zscore),0.9834301297456116,0.967741935483871,False,True
medium,2,all,all(sma_regime+bb_reversion),all(sma_regime+zscore),1.0,1.0,False,True
medium,2,all,all(adx_trend+bb_reversion),all(adx_trend+zscore),,,True,True
medium,2,all,all(hurst_switch+bb_reversion),all(hurst_switch+zscore),1.0,1.0,False,True
medium,2,all,all(vol_regime+bb_reversion),all(vol_regime+zscore),0.9999999999999998,1.0,False,True
medium,2,all,all(breakout+bb_reversion),all(breakout+zscore),1.0,1.0,False,True
medium,2,all,all(bb_breakout+bb_reversion),all(bb_breakout+zscore),,,True,True
medium,2,all,all(keltner+bb_reversion),all(keltner+zscore),,,True,True
medium,2,all,all(rsi+bb_reversion),all(rsi+zscore),0.9999999999999998,1.0,False,True
medium,2,all,all(stochastic+bb_reversion),all(stochastic+zscore),0.957283807399517,0.9318885448916409,False,True
medium,2,all,all(bb_reversion+vwap_reversion),all(zscore+vwap_reversion),0.963530342198356,0.9474835886214442,False,True
medium,2,all,all(bb_reversion+ou_reversion),all(zscore+ou_reversion),0.9999999999999998,1.0,False,True
medium,2,all,all(bb_reversion+obv_trend),all(zscore+obv_trend),0.9834301297456116,0.967741935483871,False,True
medium,2,any,any(ma_crossover+macd),any(macd+ma_ribbon),0.878828687699574,0.8873720136518771,False,True
medium,2,any,any(ma_crossover+ichimoku),any(ma_ribbon+ichimoku),0.8930151470854375,0.6356404136833731,False,True
medium,2,any,any(ma_crossover+ts_momentum),any(ma_ribbon+ts_momentum),0.9233001384673802,0.7254601226993865,False,True
medium,2,any,any(ma_crossover+dual_momentum),any(ma_ribbon+dual_momentum),0.910205506047226,0.8335820895522388,False,True
medium,2,any,any(ma_crossover+sma_regime),any(ma_ribbon+sma_regime),0.9145816563380172,0.7072599531615925,False,True
medium,2,any,any(ma_crossover+adx_trend),any(ma_ribbon+adx_trend),0.8572688540429132,0.6170212765957447,False,True
medium,2,any,any(ma_crossover+hurst_switch),any(ma_ribbon+hurst_switch),0.8491861810678962,0.6109350237717908,False,True
medium,2,any,any(ma_crossover+vol_regime),any(ma_ribbon+vol_regime),0.8894684409808108,0.6698113207547169,False,True
medium,2,any,any(ma_crossover+breakout),any(ma_ribbon+breakout),0.9028856256370255,0.6976929196499603,False,True
medium,2,any,any(ma_crossover+bb_breakout),any(ma_ribbon+bb_breakout),0.8873932065884953,0.6783161239078633,False,True
medium,2,any,any(ma_crossover+keltner),any(ma_ribbon+keltner),0.8622152054975396,0.6189339697692919,False,True
medium,2,any,any(ma_crossover+rsi),any(ma_ribbon+rsi),0.8416873095704681,0.7010309278350515,False,True
medium,2,any,any(ma_crossover+stochastic),any(ma_ribbon+stochastic),0.8794928428435292,0.7368064952638701,False,True
medium,2,any,any(ma_crossover+bb_reversion),any(ma_crossover+zscore),0.977390500560707,0.9857397504456328,False,True
medium,2,any,any(ma_crossover+bb_reversion),any(ma_ribbon+bb_reversion),0.8749394878396102,0.748,False,True
medium,2,any,any(ma_crossover+bb_reversion),any(ma_ribbon+zscore),0.8549547533793047,0.746,False,True
medium,2,any,any(ma_crossover+zscore),any(ma_ribbon+bb_reversion),0.8496334422016442,0.7373333333333333,False,True
