horizon,size,mode,a,b,corr,agree_active,both_flat,redundant
short,2,all,all(ma_crossover+ts_momentum),all(ma_crossover+dual_momentum),0.901918430656284,0.8871693866066404,False,True
short,2,all,all(ma_crossover+rsi),all(ma_crossover+bb_reversion),0.7239501781368596,0.5758835758835759,False,False
short,2,all,all(ma_crossover+rsi),all(ma_crossover+zscore),0.72226443994554,0.5708245243128964,False,False
short,2,all,all(ma_crossover+bb_reversion),all(ma_crossover+zscore),0.9764668611060485,0.9552238805970149,False,True
short,2,all,all(macd+ts_momentum),all(macd+dual_momentum),0.8648534202235783,0.8049010367577757,False,True
short,2,all,all(macd+rsi),all(macd+bb_reversion),0.8855120695774005,0.8204172876304023,False,True
short,2,all,all(macd+rsi),all(macd+zscore),0.8807699914052213,0.8130142109199701,False,True
short,2,all,all(macd+bb_reversion),all(macd+zscore),0.9906774912558292,0.9839662447257383,False,True
short,2,all,all(ma_ribbon+ts_momentum),all(ma_ribbon+dual_momentum),0.9207563118175698,0.8284832451499118,False,True
short,2,all,all(ma_ribbon+rsi),all(ma_ribbon+bb_reversion),0.6693277499739083,0.6416083916083916,False,False
short,2,all,all(ma_ribbon+rsi),all(ma_ribbon+zscore),0.6681356274807017,0.6326530612244898,False,False
short,2,all,all(ma_ribbon+bb_reversion),all(ma_ribbon+zscore),0.9638458289837143,0.9558652729384437,False,True
short,2,all,all(ichimoku+ts_momentum),all(ichimoku+dual_momentum),0.9162033515342907,0.8937728937728938,False,True
short,2,all,all(ichimoku+rsi),all(ichimoku+bb_reversion),0.6359176146963366,0.468503937007874,False,False
short,2,all,all(ichimoku+rsi),all(ichimoku+zscore),0.6530320361033524,0.483739837398374,False,False
short,2,all,all(ichimoku+bb_reversion),all(ichimoku+zscore),0.9745326418562515,0.9506172839506173,False,True
short,2,all,all(ts_momentum+sma_regime),all(dual_momentum+sma_regime),0.909434198774034,0.8826423049894588,False,True
short,2,all,all(ts_momentum+adx_trend),all(dual_momentum+adx_trend),0.9416128287626141,0.9156837046745303,False,True
short,2,all,all(ts_momentum+hurst_switch),all(dual_momentum+hurst_switch),0.9362691655304943,0.8842105263157894,False,True
short,2,all,all(ts_momentum+vol_regime),all(dual_momentum+vol_regime),0.9160779595661943,0.8672752808988764,False,True
short,2,all,all(ts_momentum+breakout),all(dual_momentum+breakout),0.9260921066702533,0.9014958044509304,False,True
short,2,all,all(ts_momentum+bb_breakout),all(dual_momentum+bb_breakout),0.9606725564951836,0.9414519906323185,False,True
short,2,all,all(ts_momentum+keltner),all(dual_momentum+keltner),0.9821684768551797,0.9676113360323887,False,True
short,2,all,all(ts_momentum+rsi),all(ts_momentum+bb_reversion),0.599709712349925,0.42134831460674155,False,False
short,2,all,all(ts_momentum+rsi),all(ts_momentum+zscore),0.6177024972086429,0.42857142857142855,False,False
short,2,all,all(ts_momentum+rsi),all(dual_momentum+rsi),0.5475300731528872,0.3711340206185567,False,False
short,2,all,all(ts_momentum+rsi),all(dual_momentum+bb_reversion),0.263914000065923,0.16083916083916083,False,False
short,2,all,all(ts_momentum+rsi),all(dual_momentum+zscore),0.26886038943797846,0.16423357664233576,False,False
short,2,all,all(ts_momentum+bb_reversion),all(ts_momentum+zscore),0.9327122058036531,0.8712871287128713,False,True
short,2,all,all(ts_momentum+bb_reversion),all(dual_momentum+rsi),0.278475578642176,0.152317880794702,False,False
short,2,all,all(ts_momentum+bb_reversion),all(dual_momentum+bb_reversion),0.481664029481442,0.30697674418604654,False,False
short,2,all,all(ts_momentum+bb_reversion),all(dual_momentum+zscore),0.4304719113211486,0.27014218009478674,False,False
short,2,all,all(ts_momentum+zscore),all(dual_momentum+rsi),0.2937811268919038,0.15517241379310345,False,False
short,2,all,all(ts_momentum+zscore),all(dual_momentum+bb_reversion),0.4451780495363369,0.27014218009478674,False,False
short,2,all,all(ts_momentum+zscore),all(dual_momentum+zscore),0.4629406100288588,0.2878787878787879,False,False
short,2,all,all(dual_momentum+rsi),all(dual_momentum+bb_reversion),0.6459728898047523,0.47750865051903113,False,False
short,2,all,all(dual_momentum+rsi),all(dual_momentum+zscore),0.6467875178979511,0.47330960854092524,False,False
short,2,all,all(dual_momentum+bb_reversion),all(dual_momentum+zscore),0.9624670308010899,0.9277777777777778,False,True
short,2,all,all(ts_momentum+stochastic),all(dual_momentum+stochastic),0.7376816107271785,0.5925925925925926,False,False
short,2,all,all(ts_momentum+vwap_reversion),all(dual_momentum+vwap_reversion),0.6816832196821753,0.5201535508637236,False,False
short,2,all,all(ts_momentum+ou_reversion),all(dual_momentum+ou_reversion),0.46536170724379305,0.27927927927927926,False,False
short,2,all,all(ts_momentum+obv_trend),all(dual_momentum+obv_trend),0.8998012190967754,0.8822343794989922,False,True
short,2,all,all(sma_regime+rsi),all(sma_regime+bb_reversion),0.8390678256542372,0.7330960854092526,False,True
short,2,all,all(sma_regime+rsi),all(sma_regime+zscore),0.8431223102178669,0.7383512544802867,False,True
short,2,all,all(sma_regime+bb_reversion),all(sma_regime+zscore),0.9953300443458238,0.9911699779249448,False,True
short,2,all,all(adx_trend+rsi),all(adx_trend+bb_reversion),0.7993076429708226,0.6625,False,False
short,2,all,all(adx_trend+rsi),all(adx_trend+zscore),0.7993076429708226,0.6625,False,False
short,2,all,all(adx_trend+bb_reversion),all(adx_trend+zscore),0.9999999999999999,1.0,False,True
short,2,all,all(hurst_switch+rsi),all(hurst_switch+bb_reversion),0.9298164565956851,0.8705882352941177,False,True
short,2,all,all(hurst_switch+rsi),all(hurst_switch+zscore),0.9298164565956851,0.8705882352941177,False,True
short,2,all,all(hurst_switch+bb_reversion),all(hurst_switch+zscore),1.0,1.0,False,True
short,2,all,all(vol_regime+rsi),all(vol_regime+bb_reversion),0.8434146375395373,0.7349081364829396,False,True
short,2,all,all(vol_regime+rsi),all(vol_regime+zscore),0.8448710399019869,0.7368421052631579,False,True
short,2,all,all(vol_regime+bb_reversion),all(vol_regime+zscore),0.9983096150869715,0.996742671009772,False,True
short,2,all,all(breakout+rsi),all(breakout+bb_reversion),0.4574630511730071,0.29411764705882354,False,False
short,2,all,all(breakout+rsi),all(breakout+zscore),0.4878977098056672,0.3225806451612903,False,False
short,2,all,all(breakout+bb_reversion),all(breakout+zscore),0.9379185615340877,0.88,False,True
short,2,all,all(bb_breakout+rsi),all(bb_breakout+bb_reversion),,,True,True
short,2,all,all(bb_breakout+rsi),all(bb_breakout+zscore),,,True,True
short,2,all,all(bb_breakout+bb_reversion),all(bb_breakout+zscore),,,True,True
short,2,all,all(keltner+rsi),all(keltner+bb_reversion),,,True,True
short,2,all,all(keltner+rsi),all(keltner+zscore),,,True,True
short,2,all,all(keltner+bb_reversion),all(keltner+zscore),,,True,True
short,2,all,all(rsi+stochastic),all(stochastic+bb_reversion),0.9012974856287611,0.8550578761952693,False,True
short,2,all,all(rsi+stochastic),all(stochastic+zscore),0.8990848270042364,0.851063829787234,False,True
short,2,all,all(stochastic+bb_reversion),all(stochastic+zscore),0.9886537183648987,0.9820426487093153,False,True
short,2,all,all(rsi+vwap_reversion),all(bb_reversion+vwap_reversion),0.8842540337373483,0.8426614481409002,False,True
short,2,all,all(rsi+vwap_reversion),all(zscore+vwap_reversion),0.8785504795949127,0.8340542666142352,False,True
short,2,all,all(bb_reversion+vwap_reversion),all(zscore+vwap_reversion),0.9867191716358202,0.9803834150691039,False,True
short,2,all,all(rsi+ou_reversion),all(bb_reversion+ou_reversion),0.9630855762023622,0.9386590584878745,False,True
short,2,all,all(rsi+ou_reversion),all(zscore+ou_reversion),0.9630855762023622,0.9386590584878745,False,True
short,2,all,all(bb_reversion+ou_reversion),all(zscore+ou_reversion),1.0,1.0,False,True
short,2,all,all(rsi+obv_trend),all(bb_reversion+obv_trend),0.721525754175252,0.5722070844686649,False,False
short,2,all,all(rsi+obv_trend),all(zscore+obv_trend),0.7274326556874382,0.5785123966942148,False,False
short,2,all,all(bb_reversion+obv_trend),all(zscore+obv_trend),0.9921275213886239,0.9847908745247148,False,True
