strategy,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,iqr,frac_paths_positive,median_return,total_trades,insufficient,reason
adx_trend,21,7,0.335894,-0.603301,1.764901,2.368202,0.714286,0.069767,44,False,
atr_sized,21,7,-0.038009,-0.573312,0.715866,1.289178,0.476190,-0.002503,743,False,
bb_breakout,21,7,0.481259,-0.067889,1.625721,1.693609,0.666667,0.158922,58,False,
bb_reversion,21,7,-0.113934,-0.631206,0.278893,0.910099,0.428571,-0.190794,50,False,
breakout,21,7,0.078159,-0.372370,1.538674,1.911044,0.523810,-0.063770,52,False,
buy_and_hold,28,8,0.533831,-0.094976,1.338872,1.433849,0.678571,0.093892,16,False,
dual_momentum,21,7,-0.319128,-0.753421,0.705994,1.459416,0.428571,-0.371754,212,False,
garch_voltarget,21,7,-0.028338,-0.566632,0.640186,1.206817,0.476190,-0.121570,711,False,
grid,21,7,-0.152113,-0.327804,0.041326,0.369130,0.285714,-0.167129,599,False,
hurst_switch,15,6,0.698854,0.608774,1.775952,1.167178,0.933333,0.167306,24,False,
ichimoku,21,7,0.023189,-0.378788,1.675845,2.054633,0.571429,-0.108904,82,False,
keltner,21,7,0.213410,0.008155,1.664212,1.656057,0.761905,0.021786,38,False,
ma_crossover,21,7,-0.333808,-0.806024,1.380390,2.186414,0.380952,-0.317020,38,False,
ma_ribbon,21,7,-0.335685,-0.654090,1.302885,1.956975,0.428571,-0.290025,965,False,
macd,21,7,0.320636,-0.255859,1.020873,1.276732,0.666667,0.037874,118,False,
obv_trend,21,7,0.188582,-0.474890,1.061057,1.535948,0.666667,-0.098147,220,False,
ou_reversion,15,6,0.412219,0.212721,1.003130,0.790409,0.933333,0.104521,26,False,
rsi,21,7,0.238230,-0.146917,0.517165,0.664082,0.714286,-0.000334,18,False,
sma_regime,21,7,0.253565,0.000000,1.620072,1.620072,0.714286,-0.021725,44,False,
stochastic,21,7,-0.043379,-0.388272,0.787027,1.175299,0.476190,-0.132634,56,False,
ts_momentum,21,7,0.024999,-0.463422,1.288761,1.752183,0.523810,-0.194357,142,False,
vol_regime,15,6,-0.171727,-0.683334,0.075210,0.758544,0.400000,-0.187161,94,False,
voltarget,21,7,-0.021492,-0.536719,0.616810,1.153530,0.380952,-0.146899,645,False,
vwap_reversion,21,7,-0.265078,-0.362381,0.224818,0.587199,0.285714,-0.383704,152,False,
zscore,21,7,0.036265,-0.538915,0.424993,0.963908,0.523810,-0.100274,50,False,
