strategy,label,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,iqr,frac_paths_positive,median_return,total_trades
adx_trend,adx_trend_7_25,21,7,-3.736213,-4.901665,-2.405340,2.496325,0.047619,-0.274226,680
atr_sized,atr_sized_7_0.01,21,7,-2.548282,-3.399342,-1.101381,2.297961,0.047619,-0.124461,3191
bb_breakout,bb_breakout_20_2,21,7,-1.487465,-2.984803,0.128918,3.113721,0.285714,-0.115080,270
bb_reversion,bb_reversion_20_2,21,7,-1.315609,-1.860983,-0.464540,1.396443,0.142857,-0.153923,308
breakout,breakout_12_6,21,7,-1.905392,-3.355824,-0.546862,2.808963,0.142857,-0.168773,350
buy_and_hold,buy_and_hold,28,8,-1.455509,-2.023213,0.130757,2.153971,0.285714,-0.229420,16
dual_momentum,dual_momentum_24_2,21,7,-4.632750,-5.779686,-3.685214,2.094472,0.000000,-0.392135,728
garch_voltarget,garch_voltarget_0.94_0.8,21,7,-2.281678,-2.507545,-1.229642,1.277903,0.047619,-0.198975,292
grid,grid_48_4_0.03,21,7,-2.021865,-2.285047,-1.553921,0.731126,0.000000,-0.124330,4304
hurst_switch,hurst_switch_250_0.55_0.45,21,7,-3.122627,-3.878253,-1.771643,2.106610,0.142857,-0.127708,170
ichimoku,ichimoku_9_26_52,21,7,-1.876824,-2.866980,-1.692773,1.174208,0.000000,-0.186287,392
keltner,keltner_12_7_2,21,7,-0.961345,-1.798966,0.678116,2.477083,0.285714,-0.048755,88
ma_crossover,ma_crossover_12_48,21,7,-2.384863,-4.221203,-0.894831,3.326372,0.095238,-0.234717,204
ma_ribbon,ma_ribbon_5x6,21,7,-2.767069,-3.982472,-1.255307,2.727165,0.047619,-0.195197,4572
macd,macd_6_13_5,21,7,-3.083051,-4.204297,-1.981496,2.222801,0.000000,-0.334330,1156
obv_trend,obv_trend_24,21,7,-1.580414,-2.454796,-0.786417,1.668379,0.238095,-0.179572,852
ou_reversion,ou_reversion_250_2.5,21,7,-0.594907,-1.295998,0.037330,1.333329,0.333333,-0.034137,196
rsi,rsi_7_30_55,21,7,-1.722513,-2.110468,-1.058819,1.051649,0.142857,-0.197997,328
sma_regime,sma_regime_168,21,7,-2.281678,-2.507545,-1.229642,1.277903,0.047619,-0.198975,292
stochastic,stoch_14_3,21,7,-0.341329,-1.541971,0.575145,2.117116,0.380952,-0.051763,240
ts_momentum,ts_momentum_24,21,7,-2.564416,-4.039700,-2.022055,2.017644,0.000000,-0.241944,716
vol_regime,vol_regime_24_0.5,21,7,-1.048033,-1.803731,-0.127224,1.676507,0.190476,-0.088137,290
voltarget,voltarget_168_24_0.8,21,7,-2.281678,-2.507545,-1.229642,1.277903,0.047619,-0.198975,292
vwap_reversion,vwap_reversion_20_0.01,21,7,-2.188862,-2.538539,-1.702600,0.835939,0.000000,-0.242999,398
zscore,zscore_20_-2,21,7,-1.151778,-1.980583,-0.767790,1.212793,0.190476,-0.125192,294
