asset,strategy,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,frac_paths_positive,median_return,total_trades
BTC,adx_trend,21,7,0.575424,0.129715,1.104253,0.857143,0.150905,50
BTC,atr_sized,21,7,0.785017,0.400862,1.144675,0.904762,0.049015,854
BTC,bb_breakout,21,7,0.074893,-0.542187,0.363258,0.523810,-0.021892,82
BTC,bb_reversion,21,7,0.056701,-0.300759,1.024397,0.571429,-0.037425,56
BTC,breakout,21,7,0.357579,0.067381,0.904113,0.761905,0.081862,54
BTC,buy_and_hold,28,8,0.619209,-0.110592,1.168055,0.678571,0.255591,16
BTC,dual_momentum,21,7,0.326964,-0.631039,0.756418,0.619048,0.071329,260
BTC,garch_voltarget,21,7,0.834183,0.391842,1.082124,0.857143,0.274271,163
BTC,grid,21,7,0.145469,-0.155279,0.627003,0.523810,-0.002599,752
BTC,hurst_switch,15,6,0.564979,-0.553570,0.950192,0.666667,0.041809,28
BTC,ichimoku,21,7,0.824954,0.352952,1.271707,0.857143,0.284186,76
BTC,keltner,21,7,0.692140,0.518366,1.251230,0.857143,0.171004,38
BTC,ma_crossover,21,7,0.274365,-0.475793,0.752651,0.619048,0.047892,48
BTC,ma_ribbon,21,7,0.359150,-0.326557,1.061088,0.666667,0.085303,925
BTC,macd,21,7,0.496095,0.090362,1.115065,0.761905,0.139754,126
BTC,obv_trend,21,7,0.101706,-0.720935,0.981215,0.523810,-0.012792,212
BTC,ou_reversion,15,6,1.657274,0.000000,1.665833,0.600000,0.120418,6
BTC,rsi,21,7,0.628905,0.192626,0.884693,0.857143,0.128793,24
BTC,sma_regime,21,7,0.834831,0.390203,1.119857,0.904762,0.277306,70
BTC,stochastic,21,7,0.034630,-0.415287,0.818535,0.523810,-0.064891,48
BTC,ts_momentum,21,7,0.687086,-0.055034,1.134532,0.666667,0.256982,82
BTC,vol_regime,15,6,0.699682,0.342323,1.061847,0.933333,0.153413,76
BTC,voltarget,21,7,0.828638,0.402931,1.118123,0.857143,0.269698,169
BTC,vwap_reversion,21,7,0.252540,-0.185195,0.865845,0.571429,0.035677,134
BTC,zscore,21,7,0.056701,-0.300759,1.024397,0.571429,-0.037425,56
ETH,adx_trend,21,7,0.495360,0.280662,0.911402,0.761905,0.150407,52
ETH,atr_sized,21,7,0.359895,-0.213477,0.687310,0.666667,0.021094,822
ETH,bb_breakout,21,7,0.485655,0.135156,0.915234,0.809524,0.160556,56
ETH,bb_reversion,21,7,-0.000157,-0.575846,0.587377,0.476190,-0.121833,58
ETH,breakout,21,7,0.034921,-0.386263,0.179358,0.714286,-0.084958,54
ETH,buy_and_hold,28,8,0.302627,-0.104543,0.756634,0.678571,-0.063074,16
ETH,dual_momentum,21,7,0.071351,-0.218813,0.141024,0.571429,-0.106787,228
ETH,garch_voltarget,21,7,0.298181,-0.314964,0.778389,0.619048,0.045318,450
ETH,grid,21,7,-0.484515,-0.614761,0.075069,0.285714,-0.230512,666
ETH,hurst_switch,15,6,0.000000,-1.470662,0.000000,0.000000,0.000000,4
ETH,ichimoku,21,7,0.432898,-0.230837,0.887041,0.666667,0.123341,62
ETH,keltner,21,7,0.625454,0.276522,0.835420,0.857143,0.180649,34
ETH,ma_crossover,21,7,0.468571,-0.370138,0.557661,0.714286,0.148251,38
ETH,ma_ribbon,21,7,0.382750,0.153873,0.812550,0.761905,0.098502,881
ETH,macd,21,7,0.253344,-0.264150,0.730742,0.619048,-0.009539,130
ETH,obv_trend,21,7,0.205187,-0.434496,0.732935,0.619048,-0.014738,238
ETH,ou_reversion,15,6,0.011706,-0.323180,1.004059,0.533333,0.000000,18
ETH,rsi,21,7,-0.170637,-0.534995,0.219741,0.476190,-0.128848,20
ETH,sma_regime,21,7,0.275002,-0.355789,0.794447,0.619048,0.031458,80
ETH,stochastic,21,7,-0.132483,-0.683321,0.657060,0.476190,-0.149913,46
ETH,ts_momentum,21,7,0.739261,0.080567,1.041898,0.857143,0.342666,80
ETH,vol_regime,15,6,0.342514,-0.123393,0.746059,0.666667,0.077774,80
ETH,voltarget,21,7,0.243195,-0.362443,0.771476,0.571429,0.023099,413
ETH,vwap_reversion,21,7,-0.004868,-0.350448,0.339948,0.476190,-0.091895,140
ETH,zscore,21,7,-0.019517,-0.543660,0.587377,0.476190,-0.131333,56
