horizon,kind,label,mode,family,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,iqr_spread,frac_paths_positive,median_path_return,total_trades,insufficient,reason
short,pair,all(ma_crossover+ts_momentum),all,trend+momentum,21,7,-2.979287915220293,-4.279656530325812,-2.0804565307393057,2.199199999586506,0.0,-0.2499043537380602,440,False,
short,pair,any(ma_crossover+ts_momentum),any,trend+momentum,21,7,-1.9068979897587737,-3.4959255820135517,-1.4571100098868603,2.0388155721266914,0.047619047619047616,-0.23087288122689587,466,False,
short,pair,all(ma_crossover+sma_regime),all,trend+regime-filter,21,7,-2.526164127517371,-2.9278283586362055,-0.616977509194756,2.3108508494414495,0.09523809523809523,-0.19657431196032005,252,False,
short,pair,any(ma_crossover+sma_regime),any,trend+regime-filter,21,7,-2.3055038894313507,-3.891353431920473,-0.9550514326178067,2.936301999302666,0.047619047619047616,-0.2419930925297169,234,False,
short,pair,all(ma_crossover+breakout),all,trend+breakout,21,7,-2.7988199603083737,-4.233678561489357,-2.508540709009126,1.7251378524802305,0.0,-0.20683388854467122,278,False,
short,pair,any(ma_crossover+breakout),any,trend+breakout,21,7,-2.0097838567092055,-2.9483908789127034,-0.8075771936075525,2.140813685305151,0.047619047619047616,-0.2575273786356509,272,False,
short,pair,all(ma_crossover+bb_breakout),all,trend+breakout,21,7,-2.8717129047901997,-4.390635017778747,-1.6970605927723348,2.693574425006412,0.047619047619047616,-0.18097688397199152,236,False,
short,pair,any(ma_crossover+bb_breakout),any,trend+breakout,21,7,-1.342204430067832,-2.771271024798763,-0.2497608181652529,2.52151020663351,0.23809523809523808,-0.16638697539913727,238,False,
short,pair,all(ma_crossover+keltner),all,trend+breakout,21,7,-2.3529138914989933,-2.9281803886525064,-0.216647777293045,2.7115326113594613,0.23809523809523808,-0.08156697588150352,88,False,
short,pair,any(ma_crossover+keltner),any,trend+breakout,21,7,-2.0350100101326323,-3.6481919528712208,-0.8547846747373902,2.793407278133831,0.09523809523809523,-0.20386937073618416,204,False,
short,pair,all(ma_crossover+rsi),all,trend+oscillator-reversion,21,7,-0.8349463650300719,-3.0897949057509466,0.287840175415765,3.3776350811667117,0.42857142857142855,-0.0321649647221095,166,False,
short,pair,any(ma_crossover+rsi),any,trend+oscillator-reversion,21,7,-2.677441664604938,-3.587332512049385,-1.8530688712316126,1.7342636408177725,0.047619047619047616,-0.35196382001040627,352,False,
short,pair,all(ma_crossover+stochastic),all,trend+oscillator-reversion,21,7,-2.2353067903386394,-3.317761404402405,-0.8718986662850159,2.445862738117389,0.09523809523809523,-0.06310187084039598,124,False,
short,pair,any(ma_crossover+stochastic),any,trend+oscillator-reversion,21,7,-1.820046797727644,-2.875685752694497,-0.8894489458190828,1.9862368068754144,0.09523809523809523,-0.25137671547283713,310,False,
short,pair,all(ma_crossover+bb_reversion),all,trend+mean-reversion,21,7,-0.37600412378710046,-1.5308680105932313,0.8492646108938192,2.3801326214870504,0.42857142857142855,-0.015913087754747757,142,False,
short,pair,any(ma_crossover+bb_reversion),any,trend+mean-reversion,21,7,-2.7213421525381056,-3.675047157603452,-1.8644164769218785,1.8106306806815733,0.047619047619047616,-0.36090159965800195,356,False,
short,pair,all(ma_crossover+zscore),all,trend+mean-reversion,21,7,-0.3089072146981216,-1.6245275242408126,0.9719461918341344,2.596473716074947,0.42857142857142855,-0.013838627374408441,134,False,
short,pair,any(ma_crossover+zscore),any,trend+mean-reversion,21,7,-2.7054634438875516,-3.889844402175719,-1.5543402411941483,2.3355041609815705,0.047619047619047616,-0.3593109504310207,350,False,
short,pair,all(ma_crossover+vwap_reversion),all,trend+mean-reversion,21,7,-1.9877430281195811,-3.3200582237074543,0.4297293974774996,3.7497876211849537,0.2857142857142857,-0.11010419194207266,226,False,
short,pair,any(ma_crossover+vwap_reversion),any,trend+mean-reversion,21,7,-2.9942466945529436,-3.7038767638266483,-2.219381846311827,1.4844949175148212,0.0,-0.39168385268620076,356,False,
