asset,rank,label,horizon,sol_median_sharpe,median_sharpe,delta_vs_sol,q1_sharpe,q3_sharpe,frac_paths_positive,median_return,total_trades,n_paths,usable_blocks
SOL,1,all(dual_momentum+vol_regime),long,1.345,1.3451573756602337,0.0001573756602337717,0.7892138056007121,1.670668604341584,0.8666666666666667,0.7514342412395274,52,15,6
SOL,2,any(hurst_switch+ou_reversion),medium,1.29,1.289601003154454,-0.0003989968455460069,0.45440726166227075,1.4261495219957285,1.0,0.6885521653605333,40,15,6
SOL,3,any(ou_reversion+obv_trend),long,1.054,1.0541212061208953,0.0001212061208952786,0.6640324012407318,1.8438274037055962,0.9333333333333333,0.9360633779393037,90,15,6
SOL,4,obv_trend_60,long,0.774,0.7740954549380439,9.545493804385963e-05,0.0056143895121241495,1.5768800265698573,0.8095238095238095,0.4461280818542501,98,21,7
SOL,5,vol_regime_60_0.5,long,0.696,0.6963665172944979,0.0003665172944979922,0.1862500799514335,1.009212475621482,0.8,0.36125889083979823,54,15,6
DOGE,1,all(dual_momentum+vol_regime),long,1.345,0.47566722985301296,-0.8693327701469871,-0.39609840159799087,0.7036578066908158,0.6,0.12138142274592822,44,15,6
DOGE,2,any(hurst_switch+ou_reversion),medium,1.29,-0.7064624709305138,-1.9964624709305139,-0.9398363786904893,-0.44303567957259704,0.0,-0.3546631716260735,54,15,6
DOGE,3,any(ou_reversion+obv_trend),long,1.054,0.668722005957448,-0.38527799404255203,0.35639582283629134,1.294222169905169,0.9333333333333333,0.32538070587661894,74,15,6
DOGE,4,obv_trend_60,long,0.774,0.5746707945769942,-0.1993292054230058,0.025053240658979025,1.0727774565067933,0.7619047619047619,0.19364665118241886,96,21,7
DOGE,5,vol_regime_60_0.5,long,0.696,-0.1251744059393185,-0.8211744059393185,-0.485133957726261,0.34300253530415614,0.4666666666666667,-0.06643756319050409,38,15,6
ZEC,1,all(dual_momentum+vol_regime),long,1.345,-0.29365032441501304,-1.638650324415013,-0.4543497955466574,0.0,0.23809523809523808,-0.23335527779266352,48,21,7
ZEC,2,any(hurst_switch+ou_reversion),medium,1.29,0.4923977877425368,-0.7976022122574633,0.15365069652816857,0.8161294209276496,0.8571428571428571,0.175689949503695,74,21,7
ZEC,3,any(ou_reversion+obv_trend),long,1.054,0.3479417315390538,-0.7060582684609462,-0.3876237204484553,1.5723184436155677,0.5714285714285714,-0.1786871830867346,132,21,7
ZEC,4,obv_trend_60,long,0.774,0.15049820034089925,-0.6235017996591008,-0.319026538140435,1.769027139686608,0.5714285714285714,-0.22854717962255933,134,21,7
ZEC,5,vol_regime_60_0.5,long,0.696,-0.05697601096840047,-0.7529760109684004,-0.5992278127932965,0.035310167262703966,0.3333333333333333,-0.1478575087938917,52,21,7
