horizon,blocks,k,strategy,median_sharpe,frac_positive,trades
long,6,2,adx_trend,0.7842117093954456,0.7,16
long,7,2,adx_trend,0.603828783564051,0.6666666666666666,12
long,8,2,adx_trend,0.6507584349439356,0.5714285714285714,14
long,9,2,adx_trend,0.70389825279885,0.5357142857142857,12
long,10,2,adx_trend,0.3452890949549443,0.5,14
long,11,2,adx_trend,0.0,0.37777777777777777,14
long,12,2,adx_trend,-0.5973924980026234,0.34545454545454546,20
long,6,2,rsi,0.5443756172790628,0.9,10
long,7,2,rsi,0.9099922491747147,0.8,14
long,8,2,rsi,0.5934893158650294,0.7142857142857143,10
long,9,2,rsi,0.7516622133385455,0.8928571428571429,14
long,10,2,rsi,0.0,0.4166666666666667,12
long,11,2,rsi,0.7056798071326654,0.8666666666666667,20
long,12,2,rsi,0.464368617867902,0.6,12
long,6,2,buy_and_hold,0.5868401982997776,0.8,12
long,7,2,buy_and_hold,0.697324207882363,0.7142857142857143,14
long,8,2,buy_and_hold,0.53383105432224,0.6785714285714286,16
long,9,2,buy_and_hold,0.42273231721499543,0.5833333333333334,18
long,10,2,buy_and_hold,0.6078770187088114,0.6666666666666666,20
long,11,2,buy_and_hold,0.6796033761098708,0.5636363636363636,22
long,12,2,buy_and_hold,0.46230591580291247,0.5909090909090909,24
long,6,2,obv_trend,0.7639216822439596,0.8,100
long,7,2,obv_trend,0.6147522121445537,0.7333333333333333,94
long,8,2,obv_trend,0.7740954549380439,0.8095238095238095,98
long,9,2,obv_trend,0.4377528543098349,0.75,94
long,10,2,obv_trend,0.5731706135656862,0.7222222222222222,102
long,11,2,obv_trend,0.39833799508956236,0.6444444444444445,106
long,12,2,obv_trend,0.5733846098313718,0.6909090909090909,108
long,6,2,macd,0.8995804047592759,0.9,44
long,7,2,macd,0.836696607275729,0.8,46
long,8,2,macd,0.5166178090401649,0.7619047619047619,50
long,9,2,macd,0.3515306330833393,0.7142857142857143,54
long,10,2,macd,0.6767814417862967,0.7222222222222222,58
long,11,2,macd,0.5545584633144884,0.6888888888888889,54
long,12,2,macd,0.3426237809448168,0.7090909090909091,54
long,6,2,hurst_switch,0.29857074060616673,1.0,32
long,7,2,hurst_switch,0.4614404785624354,0.8,32
long,8,2,hurst_switch,0.5576851823269191,0.8,32
long,9,2,hurst_switch,0.40749913047989605,0.7142857142857143,32
long,10,2,hurst_switch,0.6543968447348809,0.7857142857142857,32
long,11,2,hurst_switch,0.7140636814224475,0.6666666666666666,32
long,12,2,hurst_switch,0.4519831411691644,0.7777777777777778,34
long,6,2,dual_momentum,0.6041912468227175,0.7,140
long,7,2,dual_momentum,0.6044403652756174,0.6666666666666666,148
long,8,2,dual_momentum,0.35838933031010595,0.5714285714285714,156
long,9,2,dual_momentum,0.05442863346347155,0.5357142857142857,156
long,10,2,dual_momentum,0.3920500225300635,0.6666666666666666,162
long,11,2,dual_momentum,0.4306358697807977,0.5777777777777777,162
long,12,2,dual_momentum,0.2009066930943202,0.5636363636363636,160
long,6,2,vol_regime,0.6269600008583651,0.9,54
long,7,2,vol_regime,0.28787095852085903,0.8,52
long,8,2,vol_regime,0.6963665172944979,0.8,54
long,9,2,vol_regime,0.3216970952733151,0.8095238095238095,54
long,10,2,vol_regime,0.5002954406379555,0.7857142857142857,58
long,11,2,vol_regime,0.38325486788303925,0.6388888888888888,60
long,12,2,vol_regime,0.3857752206985413,0.8666666666666667,58
long,6,2,ou_reversion,0.3114184531800564,0.7,26
long,7,2,ou_reversion,0.9208072766907711,0.9333333333333333,28
long,8,2,ou_reversion,0.41221928193797036,0.7333333333333333,24
