horizon,blocks,k,strategy,median_sharpe,frac_positive,trades
short,6,2,stochastic,-0.22159960262726422,0.4,228
short,7,2,stochastic,-1.0869252517733756,0.3333333333333333,236
short,8,2,stochastic,-0.34132946506111556,0.38095238095238093,240
short,9,2,stochastic,-0.3650402453236772,0.32142857142857145,238
short,10,2,stochastic,-0.4927407772961029,0.3333333333333333,238
short,11,2,stochastic,-1.0086240107483422,0.3111111111111111,240
short,12,2,stochastic,-0.4312890690779141,0.38181818181818183,242
short,6,2,ou_reversion,-0.35418886211681916,0.4,192
short,7,2,ou_reversion,-0.5540245247127581,0.4,192
short,8,2,ou_reversion,-0.5949070436498937,0.3333333333333333,196
short,9,2,ou_reversion,-0.8345378851020089,0.35714285714285715,196
short,10,2,ou_reversion,-1.1495167315271528,0.3333333333333333,196
short,11,2,ou_reversion,-1.4677274180965085,0.37777777777777777,200
short,12,2,ou_reversion,-0.5844005194218134,0.41818181818181815,204
short,6,2,buy_and_hold,-0.8495359707684201,0.26666666666666666,12
short,7,2,buy_and_hold,-1.2209854537353437,0.3333333333333333,14
short,8,2,buy_and_hold,-1.455508986618464,0.2857142857142857,16
short,9,2,buy_and_hold,-0.8425954114707203,0.3888888888888889,18
short,10,2,buy_and_hold,-0.9748449063389648,0.28888888888888886,20
short,11,2,buy_and_hold,-0.4693585170361828,0.36363636363636365,22
short,12,2,buy_and_hold,-0.939884740477382,0.3181818181818182,24
short,6,2,keltner,-0.7200328444985867,0.3,86
short,7,2,keltner,-1.3406531105021458,0.3333333333333333,88
short,8,2,keltner,-0.9613454889290572,0.2857142857142857,88
short,9,2,keltner,-0.42622759327269566,0.42857142857142855,92
short,10,2,keltner,-1.000154258930743,0.3055555555555556,94
short,11,2,keltner,-0.7783759086488671,0.3333333333333333,94
short,12,2,keltner,-1.2642802125282486,0.18181818181818182,94
short,6,2,vol_regime,-0.7084048609721183,0.2,266
short,7,2,vol_regime,-1.0381190809925533,0.06666666666666667,278
short,8,2,vol_regime,-1.0480333942321125,0.19047619047619047,290
short,9,2,vol_regime,-0.8952546628464693,0.21428571428571427,300
short,10,2,vol_regime,-1.1279568526147692,0.3055555555555556,312
short,11,2,vol_regime,-1.3642015256069295,0.3111111111111111,320
short,12,2,vol_regime,-1.3193888640968294,0.2545454545454545,328
short,6,2,bb_reversion,-1.1321826390493026,0.1,296
short,7,2,bb_reversion,-0.5650719023936531,0.3333333333333333,308
short,8,2,bb_reversion,-1.3156091611630525,0.14285714285714285,308
short,9,2,bb_reversion,-1.3534291795269806,0.2857142857142857,314
short,10,2,bb_reversion,-1.3892864945198942,0.2222222222222222,316
short,11,2,bb_reversion,-1.4107633361860508,0.24444444444444444,318
short,12,2,bb_reversion,-1.2807542697759426,0.2727272727272727,322
short,6,2,zscore,-1.2693170102462243,0.2,282
short,7,2,zscore,-0.5147851552271532,0.3333333333333333,294
short,8,2,zscore,-1.151777891329087,0.19047619047619047,294
short,9,2,zscore,-1.3190691293853383,0.25,300
short,10,2,zscore,-1.327219756832196,0.2222222222222222,300
short,11,2,zscore,-1.3875258645403883,0.28888888888888886,304
