interval,mode,block,bars,lower,upper,capital_deployed,round_trips,realized_usd,pct_of_deployed,grid_total_return,grid_max_drawdown,hold_total_return,hold_max_drawdown,pct_bars_outside_ladder,buys,sells,forced_exit_qty
1d,static_whole_series,-1,1875,33.3625,45.1375,72.00,68,7.5086,0.104286,0.052143,-0.114619,0.882548,-0.962746,0.930667,70,69,0.02085799
1d,recentred_per_block,0,234,33.3625,45.1375,72.00,14,5.3056,0.073689,0.036845,-0.041156,1.899363,-0.653930,0.893162,14,14,0.00000000
1d,recentred_per_block,1,234,98.022,132.618,72.00,15,-10.2551,-0.142433,-0.071216,-0.104463,-0.716615,-0.791295,0.816239,17,16,0.20172102
1d,recentred_per_block,2,235,28.254,38.226,72.00,9,-16.2088,-0.225122,-0.112561,-0.227050,-0.389892,-0.738753,0.838298,13,10,1.42649622
1d,recentred_per_block,3,234,16.677,22.563,72.00,29,9.3473,0.129824,0.064912,-0.064691,4.067278,-0.354933,0.619658,29,29,0.00000000
1d,recentred_per_block,4,234,86.7085,117.3115,72.00,23,7.8192,0.108600,0.054300,-0.034473,0.352416,-0.374148,0.799145,23,23,0.00000000
1d,recentred_per_block,5,235,115.022,155.618,72.00,37,6.3512,0.088211,0.044105,-0.070371,0.099911,-0.597885,0.582979,39,38,0.06552641
1d,recentred_per_block,6,234,128.486,173.834,72.00,41,5.5529,0.077123,0.038562,-0.041681,-0.124636,-0.488366,0.487179,43,42,0.08880668
1d,recentred_per_block,7,235,113.1945,153.1455,72.00,10,-7.0706,-0.098203,-0.049101,-0.077783,-0.445145,-0.576346,0.791489,12,11,0.16461575
1h,static_whole_series,-1,8823,144.7125,195.7875,72.00,36,-14.3691,-0.199571,-0.099785,-0.186810,-0.571219,-0.758023,0.860365,40,37,0.25747098
1h,recentred_per_block,0,1102,144.7125,195.7875,72.00,15,6.5575,0.091077,0.045538,-0.009234,0.381615,-0.153861,0.537205,15,15,0.00000000
1h,recentred_per_block,1,1103,198.8915,269.0885,72.00,10,-2.1606,-0.030009,-0.015004,-0.054397,-0.204838,-0.310097,0.403445,11,11,0.02068421
1h,recentred_per_block,2,1103,158.5335,214.4865,72.00,3,-5.9824,-0.083089,-0.041544,-0.047552,-0.308991,-0.342230,0.827743,5,4,0.12607651
1h,recentred_per_block,3,1103,109.7945,148.5455,72.00,12,-0.1584,-0.002200,-0.001100,-0.038340,-0.183711,-0.311170,0.009066,15,13,0.28385072
1h,recentred_per_block,4,1103,89.7345,121.4055,72.00,5,-1.5999,-0.022220,-0.011110,-0.073601,-0.147201,-0.286647,0.804170,7,6,0.22273874
1h,recentred_per_block,5,1103,76.568,103.592,72.00,9,2.2381,0.031084,0.015542,-0.014874,-0.066052,-0.164481,0.000000,10,10,0.14170145
1h,recentred_per_block,6,1103,71.9695,97.3705,72.00,5,-9.9238,-0.137831,-0.068915,-0.156203,-0.174914,-0.380283,0.281052,10,6,0.67506658
1h,recentred_per_block,7,1103,59.1345,80.0055,72.00,8,1.4924,0.020728,0.010364,-0.019567,0.049303,-0.148219,0.119674,11,9,0.47361978
