asset,strategy,params,bars,first,last,trades,net_return_pct,gross_return_pct,net_sharpe,gross_sharpe,max_drawdown_pct,fees_usd,borrow_fees_usd,cost_share_of_capital,exposure_fraction,liquidations,seconds,error
BTC,breakout,entry_lookback=12;exit_lookback=6,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,6643,-99.9986,-8.8882,-70.7913,-1.7383,-99.999,9111.03,0.0,0.9111,0.3719,0,1.58,
BTC,buy_and_hold,-,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,1,-2.2995,-2.1413,0.1279,0.1347,-30.213,15.82,0.0,0.0016,1.0,0,0.65,
BTC,bb_reversion,num_std=2.0;window=20,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,4862,-99.9507,4.4678,-55.6392,0.9239,-99.951,10441.85,0.0,1.0442,0.2657,0,2.93,
BTC,dual_momentum,formation=24;skip=2,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,13350,-100.0,-0.2591,-118.4878,-0.0007,-100.0,9974.09,0.0,0.9974,0.4984,0,0.72,
BTC,bb_breakout,num_std=2.0;window=20,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,4800,-99.9613,-3.4348,-56.6187,-0.6229,-99.962,9652.65,0.0,0.9653,0.2596,0,2.96,
BTC,grid,anchor_window=48;levels=4;step=0.03,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,69541,-98.2928,2.0931,-90.7055,1.0674,-98.293,10038.59,0.0,1.0039,0.1246,0,1.77,
BTC,ichimoku,displacement=26;kijun=26;senkou_b=52;tenkan=9,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,7160,-99.9989,5.444,-69.3288,1.0349,-99.999,10544.29,0.0,1.0544,0.4265,0,3.27,
BTC,hurst_switch,lag=5;trend_window=168;window=250,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,3192,-99.5026,-4.4583,-68.3621,-1.8876,-99.503,9504.43,0.0,0.9504,0.0566,0,6.53,
BTC,ma_crossover,fast=12;slow=48,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,3487,-99.6408,2.9216,-33.5932,0.4745,-99.66,10256.24,0.0,1.0256,0.5008,0,1.8,
BTC,ma_ribbon,base=6;windows=5,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,89672,-99.994,2.0138,-78.3715,0.4828,-99.994,10200.79,0.0,1.0201,0.4429,0,6.38,
BTC,macd,fast=6;signal=5;slow=13,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,15950,-100.0,5.31,-36.9394,1.1724,-100.0,10531.0,0.0,1.0531,0.3938,0,13.71,
BTC,atr_sized,atr_period=7;trend_window=168,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,5481,-99.9843,2.9692,-51.7858,0.5431,-99.985,10295.35,0.0,1.0295,0.4999,0,38.24,
BTC,ou_reversion,entry_z=-2.0;fit_window=250;max_half_life_bars=48,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,3385,-99.5946,-0.0516,-58.1199,0.0217,-99.595,9954.3,0.0,0.9954,0.1594,0,4.53,
BTC,keltner,atr_period=7;ema_span=12;mult=2.0,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,3000,-99.28,-5.725,-48.4355,-1.3382,-99.282,9355.5,0.0,0.9356,0.1291,0,78.36,
BTC,sma_regime,window=168,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,5466,-99.9843,2.7214,-51.7341,0.5023,-99.985,10270.58,0.0,1.0271,0.4999,0,1.4,
BTC,stochastic,d_period=3;k_period=14,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,4453,-99.8871,6.3331,-47.9271,1.1772,-99.888,10622.02,0.0,1.0622,0.3119,0,4.14,
BTC,ts_momentum,window=24,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,12718,-100.0,5.9671,-111.6209,1.1957,-100.0,10596.71,0.0,1.0597,0.4986,0,1.31,
BTC,vol_regime,lookback=250;trend_window=168;vol_window=24,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,6022,-99.9944,4.2803,-83.5946,1.1371,-99.995,10427.47,0.0,1.0427,0.2774,0,24.52,
BTC,voltarget,target_vol=0.8;trend_window=168;vol_window=24,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,5466,-99.9843,2.7214,-51.7341,0.5023,-99.985,10270.58,0.0,1.0271,0.4999,0,2.72,
BTC,vwap_reversion,entry_discount=0.01;window=20,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,20,-3.1505,-0.0339,-0.9154,0.0235,-7.225,311.66,0.0,0.0312,0.0012,0,2.05,
BTC,zscore,entry_z=-2.0;window=20,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,4647,-99.9281,6.1961,-53.677,1.2498,-99.929,10612.41,0.0,1.0612,0.2561,0,3.3,
BTC,adx_trend,adx_period=7;adx_threshold=25.0,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,11909,-100.0,3.2365,-119.0922,0.7599,-100.0,10323.65,0.0,1.0324,0.3275,0,236.66,
ETH,atr_sized,atr_period=7;trend_window=168,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,5709,-99.9886,4.1387,-42.7763,0.6196,-99.989,10412.73,0.0,1.0413,0.5028,0,44.88,
ETH,bb_breakout,num_std=2.0;window=20,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,4787,-99.9565,-2.1043,-44.276,-0.2665,-99.958,9785.22,0.0,0.9785,0.2599,0,3.2,
ETH,bb_reversion,num_std=2.0;window=20,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,4987,-99.9481,4.0477,-43.6437,0.7142,-99.948,10399.58,0.0,1.04,0.2652,0,3.43,
ETH,breakout,entry_lookback=12;exit_lookback=6,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,6389,-99.9972,-0.9462,-53.3195,-0.0746,-99.997,9905.1,0.0,0.9905,0.3693,0,1.75,
ETH,buy_and_hold,-,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,1,-3.1358,-2.9783,0.1874,0.1926,-38.7,15.75,0.0,0.0016,1.0,0,0.71,
BTC,obv_trend,ma_window=24,259913,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,13094,-100.0,1.4449,-116.8569,0.3419,-100.0,10144.49,0.0,1.0144,0.4918,0,259.26,
ETH,dual_momentum,formation=24;skip=2,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,13369,-100.0,-1.861,-96.9982,-0.2383,-100.0,9813.9,0.0,0.9814,0.4984,0,0.8,
ETH,grid,anchor_window=48;levels=4;step=0.03,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,69965,-98.3897,1.3429,-73.7831,0.5621,-98.391,9973.27,0.0,0.9973,0.1243,0,1.98,
ETH,hurst_switch,lag=5;trend_window=168;window=250,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,3253,-99.5239,-2.7816,-52.4679,-0.8171,-99.524,9674.22,0.0,0.9674,0.0634,0,6.51,
ETH,ichimoku,displacement=26;kijun=26;senkou_b=52;tenkan=9,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,7495,-99.9993,5.9848,-57.5484,0.9322,-99.999,10598.41,0.0,1.0598,0.4263,0,3.43,
ETH,adx_trend,adx_period=7;adx_threshold=25.0,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,11634,-100.0,4.2915,-93.5089,0.8179,-100.0,10429.15,0.0,1.0429,0.3275,0,237.27,
ETH,ma_crossover,fast=12;slow=48,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,3590,-99.6287,10.6826,-26.2977,1.2175,-99.664,11031.13,0.0,1.1031,0.5017,0,1.71,
ETH,ma_ribbon,base=6;windows=5,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,90238,-99.9953,0.6484,-63.3098,0.1721,-99.995,10064.38,0.0,1.0064,0.4433,0,4.9,
ETH,keltner,atr_period=7;ema_span=12;mult=2.0,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,2793,-98.8388,3.3335,-34.3924,0.6186,-98.847,10217.24,0.0,1.0217,0.1217,0,71.39,
ETH,macd,fast=6;signal=5;slow=13,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,18034,-100.0,-4.885,-40.9215,-0.8373,-100.0,9511.5,0.0,0.9512,0.4527,0,12.36,
ETH,ou_reversion,entry_z=-2.0;fit_window=250;max_half_life_bars=48,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,3484,-99.5993,-1.3168,-46.2613,-0.2332,-99.6,9828.25,0.0,0.9828,0.1628,0,4.31,
ETH,obv_trend,ma_window=24,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,13088,-100.0,7.5034,-93.8976,1.232,-100.0,10750.34,0.0,1.075,0.4879,0,194.41,
ETH,sma_regime,window=168,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,5654,-99.9887,3.184,-42.5214,0.4851,-99.989,10317.27,0.0,1.0317,0.5031,0,1.85,
ETH,stochastic,d_period=3;k_period=14,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,4330,-99.8902,-3.9675,-38.8742,-0.5255,-99.891,9592.27,0.0,0.9592,0.3014,0,4.03,
ETH,ts_momentum,window=24,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,12809,-100.0,2.0758,-92.1508,0.3922,-100.0,10207.58,0.0,1.0208,0.4986,0,0.85,
ETH,vol_regime,lookback=250;trend_window=168;vol_window=24,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,6078,-99.9949,0.9639,-70.8837,0.2512,-99.995,10095.88,0.0,1.0096,0.2829,0,16.77,
ETH,voltarget,target_vol=0.8;trend_window=168;vol_window=24,259906,2026-02-05 19:24:00+00:00,2026-08-05 14:59:00+00:00,5654,-99.9887,3.184,-42.5214,0.4851,-99.989,10317.27,0.0,1.0317,0.5031,0,2.42,
