horizon,label,median_sharpe,iqr,max_abs_delta,ratio_to_iqr,sign_flips,perturbations,frac_positive,trades
medium,buy_and_hold,0.53383105432224,1.4338485891176893,,,0,0,0.6785714285714286,16
medium,ma_crossover,-0.3338083591464246,2.186414455666197,0.3033014046623174,0.13872091079360432,0,4,0.38095238095238093,38
medium,macd,0.32063561817327296,1.276732041732904,0.18189255348209854,0.1424672895615719,0,6,0.6666666666666666,118
medium,ts_momentum,0.024999413506447778,1.752183103349015,0.08148916522926763,0.04650722009218915,0,2,0.5238095238095238,142
medium,sma_regime,-0.06562638110519782,1.5222891296572816,0.09699361221912428,0.06371563084140316,2,2,0.47619047619047616,96
medium,breakout,0.07815893865840046,1.9110442527946054,0.16300250903715804,0.08529499450302744,0,4,0.5238095238095238,52
medium,bb_breakout,0.4812586198405186,1.6936093294087793,0.23734552140298074,0.14014183630284766,0,4,0.6666666666666666,58
medium,keltner,0.21341015660241713,1.6560566849535208,0.06724638652078757,0.04060633137245234,0,6,0.7619047619047619,38
medium,rsi,0.2382302904053016,0.6640816309939661,0.5551695274368131,0.8359959100297075,0,6,0.7142857142857143,18
medium,stochastic,-0.04337882564273385,1.1752992185922333,0.36201113374610405,0.3080161443310742,3,4,0.47619047619047616,56
medium,bb_reversion,-0.11393416248510864,0.9100989545781284,0.3524624771076034,0.3872792901635466,3,4,0.42857142857142855,50
medium,zscore,0.03626502465125298,0.9639080288868191,0.14219171080908047,0.14751584855382135,1,4,0.5238095238095238,50
medium,vwap_reversion,-0.26507829591536625,0.5871990552109534,0.16365848235628638,0.27871039795438957,0,4,0.2857142857142857,152
medium,grid,-0.15211290512723388,0.3691299315151664,0.17409910013935542,0.4716472040745421,1,6,0.2857142857142857,599
medium,obv_trend,0.18858232510559558,1.5359478736372523,0.13158462462385767,0.08566998065647524,0,2,0.6666666666666666,220
medium,voltarget,-0.021491765791798692,1.1535296404712434,0.09024853054507227,0.07823685441511817,2,6,0.38095238095238093,645
medium,dual_momentum,-0.3191276720297687,1.4594157190583354,0.3566878359923624,0.24440454582914148,1,3,0.42857142857142855,212
medium,adx_trend,0.33589376000232496,2.3682019861557304,0.17102728482790544,0.0722182000638939,0,4,0.7142857142857143,44
medium,ma_ribbon,-0.33568516321049335,1.9569750958110526,0.39022615357791424,0.19940271821200062,1,4,0.42857142857142855,965
medium,ichimoku,0.023188549805589462,2.05463309816699,0.19437748278553077,0.09460447364492557,1,8,0.5714285714285714,82
medium,ou_reversion,0.41221928193797036,0.7904092590565971,0.4434089844476927,0.5609865767222022,2,6,0.9333333333333333,26
medium,hurst_switch,0.6988538792467518,1.1671782794991747,0.6988538792467518,0.5987550415576817,1,6,0.9333333333333333,24
medium,vol_regime,-0.17172739474568682,0.758543993809442,0.6527871747664014,0.860579188674443,1,6,0.4,94
medium,atr_sized,-0.038009389354608174,1.2891782879008478,0.19133970400279487,0.14841989335264932,1,4,0.47619047619047616,743
medium,garch_voltarget,-0.028338234102461814,1.2068173169848233,0.10634328157534603,0.0881187898770294,1,5,0.47619047619047616,711
