what,median_sharpe,iqr,frac_positive,median_return,trades,evaluable
baseline,1.3451573756602337,0.8814547987408718,0.8666666666666667,0.7514342412395274,52,True
dual_momentum: formation 24→22,1.0185477045667173,0.6043472050082123,0.8666666666666667,0.5045041310450948,62,True
dual_momentum: formation 24→26,1.2937962197249233,0.7437010823610182,0.9333333333333333,0.7111612268621792,50,True
dual_momentum: skip 1→2,1.3326807936010063,0.7056429337599198,0.9333333333333333,0.7099730406895988,52,True
vol_regime: vol_window 60→54,1.1126015605407698,0.8470020075370421,0.8,0.4992923333300374,52,True
vol_regime: vol_window 60→66,1.4348800293192352,0.8328364999776917,0.9333333333333333,0.7322811648542669,52,True
vol_regime: lookback 250→225,0.953563676379268,1.3445877080835242,0.7142857142857143,0.4845421821856928,52,True
vol_regime: lookback 250→275,1.3451573756602337,0.9426877545119661,0.8666666666666667,0.727528892728529,46,True
vol_regime: trend_window 200→180,1.1541198272978728,0.8798996085532378,0.8,0.5926172656869706,64,True
vol_regime: trend_window 200→220,1.1024421840403413,1.002144723772127,0.8,0.6015727718260131,58,True
"geometry: 7 blocks, k=2",1.2198332032198378,1.41984041618881,0.9333333333333333,0.7424319531834092,54,True
"geometry: 9 blocks, k=2",0.9038107161515017,1.4699064257002332,0.9523809523809523,0.3501348409619587,54,True
"geometry: 8 blocks, k=3",1.2590570233242586,0.5068953589125329,0.95,1.2279418702922484,52,True
