what,median_sharpe,iqr,frac_positive,median_return,trades,evaluable
baseline,0.991215210065157,0.956616766709356,0.8666666666666667,0.4200451619586958,34,True
macd: fast 26→23,0.8297821706727557,0.8709264963358154,0.8666666666666667,0.3579971676368279,34,True
macd: fast 26→29,0.7962173168360637,0.8486585236503901,0.8,0.34488651418890215,34,True
macd: slow 52→47,0.8297821706727557,0.8245634177178465,0.8666666666666667,0.3579971676368279,34,True
macd: slow 52→57,0.7868681103717805,0.9279044755807591,0.8,0.33876334301009736,34,True
macd: signal 18→16,0.9324177722736184,0.8919742443456613,0.8666666666666667,0.37999306871071825,34,True
macd: signal 18→20,0.7962173168360637,0.8307624903528036,0.8,0.34488651418890215,34,True
vol_regime: vol_window 60→54,0.7326276134026962,0.8295166327857628,0.8,0.2823481906462637,36,True
vol_regime: vol_window 60→66,1.107592148820206,0.8214461498848452,0.9333333333333333,0.4200451619586958,34,True
vol_regime: lookback 250→225,0.7080325644818763,1.1962220026706634,0.7142857142857143,0.23067181202274112,32,True
vol_regime: lookback 250→275,0.9569764779771859,1.1124486196958967,0.8,0.4200451619586958,32,True
vol_regime: trend_window 200→180,0.7869147882135868,0.895755319287183,0.8666666666666667,0.338458732080374,40,True
vol_regime: trend_window 200→220,0.8592120534290769,1.1291756468557157,0.8666666666666667,0.37331280167969694,40,True
