what,median_sharpe,iqr,frac_positive,median_return,trades,evaluable
baseline,1.1624903877868862,1.4227713920349365,0.6666666666666666,0.8760502026004093,34,True
adx_trend: adx_period 30→27,1.04618253377841,1.2379274089217773,0.7333333333333333,0.6891907156856045,40,True
adx_trend: adx_period 30→33,1.2180375818632885,1.6017212620234131,0.6,0.9626287633491417,34,True
adx_trend: adx_threshold 25→22.5,0.9508943890414386,1.346453126996251,0.6,0.6366261215728757,40,True
adx_trend: adx_threshold 25→27.5,0.6643545290441797,1.3460617773053922,0.8,0.2244207910341942,38,True
ou_reversion: fit_window 250→225,0.48783408645043735,1.4557105032445918,0.5714285714285714,0.17250997936039592,32,True
ou_reversion: fit_window 250→275,0.7197279197002505,1.5329163266619694,0.6,0.3344551030307261,26,True
ou_reversion: entry_z -2→-1.8,1.1567651289470071,1.3501200583613342,0.6666666666666666,0.8760502026004093,36,True
ou_reversion: entry_z -2→-2.2,1.1116204541217183,1.9173755987264207,0.6666666666666666,0.6880701480962605,34,True
ou_reversion: hold_multiple 3→2.7,1.1271656462134394,1.3966843205297446,0.6666666666666666,0.8729359260623648,34,True
ou_reversion: hold_multiple 3→3.3,1.1806227412328454,1.4514310825958545,0.6666666666666666,0.8760502026004093,34,True
