a,b,family_a,family_b,cross_family,corr,agree_active,agree_all,redundant
sma_regime,garch_voltarget,sma-gated,sma-gated,False,0.9995333134018954,1.0,1.0,True
voltarget,garch_voltarget,sma-gated,sma-gated,False,0.9994434149129484,1.0,1.0,True
sma_regime,voltarget,sma-gated,sma-gated,False,0.9994320235272734,1.0,1.0,True
bb_reversion,zscore,mean-reversion,mean-reversion,False,0.9892617481834045,0.9844789356984479,0.9956896551724138,True
voltarget,atr_sized,sma-gated,sma-gated,False,0.9630652258488959,1.0,1.0,True
atr_sized,garch_voltarget,sma-gated,sma-gated,False,0.9619767148411791,1.0,1.0,True
sma_regime,atr_sized,sma-gated,sma-gated,False,0.9596487383813737,1.0,1.0,True
bb_breakout,keltner,breakout,breakout,False,0.8370938893038415,0.807936507936508,0.9254926108374384,True
sma_regime,ichimoku,sma-gated,trend,True,0.8286681641112738,0.8382352941176471,0.9119458128078818,True
voltarget,ichimoku,sma-gated,trend,True,0.8273514463813731,0.8382352941176471,0.9119458128078818,True
ichimoku,garch_voltarget,trend,sma-gated,True,0.8270868240950043,0.8382352941176471,0.9119458128078818,True
ichimoku,atr_sized,trend,sma-gated,True,0.8134982817288494,0.8382352941176471,0.9119458128078818,True
ma_crossover,ts_momentum,trend,momentum,True,0.8032411152561764,0.8311425682507584,0.8971674876847291,True
ma_crossover,sma_regime,trend,sma-gated,True,0.7915885671391796,0.8186695278969958,0.895935960591133,False
ma_crossover,voltarget,trend,sma-gated,True,0.7908107868281085,0.8186695278969958,0.895935960591133,False
ma_crossover,garch_voltarget,trend,sma-gated,True,0.790137602962399,0.8186695278969958,0.895935960591133,False
breakout,ma_ribbon,breakout,trend,True,0.7891251232318653,0.4807547169811321,0.5763546798029556,False
ts_momentum,sma_regime,momentum,sma-gated,True,0.7616510321462965,0.8041543026706232,0.8780788177339901,False
ts_momentum,garch_voltarget,momentum,sma-gated,True,0.7607991140026821,0.8041543026706232,0.8780788177339901,False
ts_momentum,voltarget,momentum,sma-gated,True,0.7605899476035665,0.8041543026706232,0.8780788177339901,False
rsi,grid,oscillator-reversion,mean-reversion,True,0.7537650505057383,0.6463104325699746,0.8288177339901478,False
bb_reversion,vwap_reversion,mean-reversion,mean-reversion,False,0.7480449355064809,0.6846153846153846,0.8737684729064039,False
ma_ribbon,ichimoku,trend,trend,False,0.7455374428746312,0.574755822689707,0.6514778325123153,False
ma_crossover,atr_sized,trend,sma-gated,True,0.7420153151157157,0.8186695278969958,0.895935960591133,False
vwap_reversion,zscore,mean-reversion,mean-reversion,False,0.7397492317986453,0.6738461538461539,0.8694581280788177,False
breakout,bb_breakout,breakout,breakout,False,0.7330464193280252,0.7124824684431977,0.8737684729064039,False
ts_momentum,atr_sized,momentum,sma-gated,True,0.7310023567037501,0.8041543026706232,0.8780788177339901,False
stochastic,vwap_reversion,oscillator-reversion,mean-reversion,True,0.7267397112971864,0.7019774011299436,0.8700738916256158,False
vol_regime,atr_sized,regime-filter,sma-gated,True,0.7135115969161937,0.5936768149882904,0.7863300492610837,False
bb_breakout,ma_ribbon,breakout,trend,True,0.7019481792705605,0.4385832705350414,0.541256157635468,False
bb_reversion,stochastic,mean-reversion,oscillator-reversion,True,0.685842848405943,0.6348949919224556,0.8608374384236454,False
vwap_reversion,grid,mean-reversion,mean-reversion,False,0.6807547790289007,0.6927639383155397,0.8405172413793104,False
stochastic,zscore,oscillator-reversion,mean-reversion,True,0.6787679906739735,0.6262135922330098,0.8577586206896551,False
