a,b,family_a,family_b,cross_family,corr,agree_active,agree_all,redundant
bb_reversion,zscore,mean-reversion,mean-reversion,False,1.0,1.0,1.0,True
voltarget,garch_voltarget,sma-gated,sma-gated,False,0.9992628233232749,1.0,1.0,True
sma_regime,garch_voltarget,sma-gated,sma-gated,False,0.9982505156756308,1.0,1.0,True
sma_regime,voltarget,sma-gated,sma-gated,False,0.9968675542945844,1.0,1.0,True
voltarget,atr_sized,sma-gated,sma-gated,False,0.9542096771899523,1.0,1.0,True
atr_sized,garch_voltarget,sma-gated,sma-gated,False,0.952906175148856,1.0,1.0,True
sma_regime,atr_sized,sma-gated,sma-gated,False,0.9467849799141367,1.0,1.0,True
ma_crossover,ma_ribbon,trend,trend,False,0.8199575563185612,0.6450381679389313,0.7136699507389163,True
sma_regime,ichimoku,sma-gated,trend,True,0.7804533946598463,0.7819460726846424,0.8854679802955665,False
ichimoku,garch_voltarget,trend,sma-gated,True,0.7754560313214953,0.7819460726846424,0.8854679802955665,False
voltarget,ichimoku,sma-gated,trend,True,0.7723560734341046,0.7819460726846424,0.8854679802955665,False
vol_regime,atr_sized,regime-filter,sma-gated,True,0.7579395087002755,0.6034063260340633,0.7992610837438424,False
ts_momentum,sma_regime,momentum,sma-gated,True,0.7511937916765276,0.781148429035753,0.875615763546798,False
ts_momentum,garch_voltarget,momentum,sma-gated,True,0.7468413747658332,0.781148429035753,0.875615763546798,False
ts_momentum,voltarget,momentum,sma-gated,True,0.7451454087581658,0.781148429035753,0.875615763546798,False
ichimoku,atr_sized,trend,sma-gated,True,0.7360550830283579,0.7819460726846424,0.8854679802955665,False
rsi,grid,oscillator-reversion,mean-reversion,True,0.7290930463378326,0.33544303797468356,0.6767241379310345,False
ts_momentum,atr_sized,momentum,sma-gated,True,0.7174175937118726,0.781148429035753,0.875615763546798,False
ma_ribbon,ichimoku,trend,trend,False,0.7012313539716976,0.5328244274809161,0.6231527093596059,False
ts_momentum,ichimoku,momentum,trend,True,0.6958654165195345,0.713641488162345,0.8435960591133005,False
keltner,adx_trend,breakout,regime-filter,True,0.6891910502465334,0.6160337552742616,0.8879310344827587,False
voltarget,vol_regime,sma-gated,regime-filter,True,0.6752809465512101,0.6034063260340633,0.7992610837438424,False
vol_regime,garch_voltarget,regime-filter,sma-gated,True,0.6689820477166283,0.6034063260340633,0.7992610837438424,False
sma_regime,vol_regime,sma-gated,regime-filter,True,0.6549943651152494,0.6034063260340633,0.7992610837438424,False
bb_breakout,keltner,breakout,breakout,False,0.6546067382426128,0.5851851851851851,0.8620689655172413,False
ma_crossover,ichimoku,trend,trend,False,0.6493678808747021,0.6789989118607181,0.8183497536945813,False
breakout,ma_ribbon,breakout,trend,True,0.6193885063256519,0.5287009063444109,0.6157635467980296,False
bb_reversion,grid,mean-reversion,mean-reversion,False,0.6151740574194856,0.42962056303549573,0.7130541871921182,False
zscore,grid,mean-reversion,mean-reversion,False,0.6151740574194856,0.42962056303549573,0.7130541871921182,False
vwap_reversion,zscore,mean-reversion,mean-reversion,False,0.6144946582507148,0.5314787701317716,0.8029556650246306,False
bb_reversion,vwap_reversion,mean-reversion,mean-reversion,False,0.6144946582507146,0.5314787701317716,0.8029556650246306,False
ts_momentum,ma_ribbon,momentum,trend,True,0.6133806163781946,0.5982008995502249,0.6699507389162561,False
breakout,keltner,breakout,breakout,False,0.613004005559489,0.5230125523012552,0.7894088669950738,False
breakout,bb_breakout,breakout,breakout,False,0.6066141324106403,0.5704874835309618,0.7992610837438424,False
rsi,bb_reversion,oscillator-reversion,mean-reversion,True,0.6045668344173194,0.5023364485981309,0.8688423645320197,False
rsi,zscore,oscillator-reversion,mean-reversion,True,0.6045668344173194,0.5023364485981309,0.8688423645320197,False
vwap_reversion,grid,mean-reversion,mean-reversion,False,0.6016077578435358,0.6400449943757031,0.8029556650246306,False
keltner,ichimoku,breakout,trend,True,0.5990814841416549,0.5154929577464789,0.7881773399014779,False
stochastic,grid,oscillator-reversion,mean-reversion,True,0.5843663261219353,0.4840236686390533,0.7315270935960592,False
bb_reversion,stochastic,mean-reversion,oscillator-reversion,True,0.5805847497871388,0.51985559566787,0.8362068965517241,False
stochastic,zscore,oscillator-reversion,mean-reversion,True,0.5805847497871387,0.51985559566787,0.8362068965517241,False
sma_regime,ma_ribbon,sma-gated,trend,True,0.5775019559790115,0.5898583146905294,0.6613300492610837,False
ma_ribbon,garch_voltarget,trend,sma-gated,True,0.5752040451825527,0.5898583146905294,0.6613300492610837,False
voltarget,ma_ribbon,sma-gated,trend,True,0.5717223665685659,0.5898583146905294,0.6613300492610837,False
keltner,ma_ribbon,breakout,trend,True,0.5716571259940593,0.2885496183206107,0.42610837438423643,False
ma_crossover,ts_momentum,trend,momentum,True,0.567745562424928,0.6521308225966304,0.7838669950738916,False
stochastic,vwap_reversion,oscillator-reversion,mean-reversion,True,0.557167117257023,0.5297297297297298,0.7857142857142857,False
adx_trend,ichimoku,regime-filter,trend,True,0.5519916671602546,0.4876712328767123,0.7697044334975369,False
breakout,ichimoku,breakout,trend,True,0.551624927052269,0.5954802259887005,0.7795566502463054,False
adx_trend,ma_ribbon,regime-filter,trend,True,0.5505026351443315,0.2834467120181406,0.41625615763546797,False
bb_breakout,adx_trend,breakout,regime-filter,True,0.5475117645796609,0.49568221070811747,0.8201970443349754,False
bb_breakout,dual_momentum,breakout,momentum,True,0.5418054067997978,0.5124434389140271,0.7346059113300493,False
ma_crossover,sma_regime,trend,sma-gated,True,0.5406275076360257,0.634313725490196,0.770320197044335,False
breakout,adx_trend,breakout,regime-filter,True,0.5394275996872779,0.4772117962466488,0.7598522167487685,False
ma_ribbon,atr_sized,trend,sma-gated,True,0.5387816943364311,0.5898583146905294,0.6613300492610837,False
ma_crossover,garch_voltarget,trend,sma-gated,True,0.5387614191866005,0.634313725490196,0.770320197044335,False
ma_crossover,voltarget,trend,sma-gated,True,0.5365280304823646,0.634313725490196,0.770320197044335,False
macd,dual_momentum,trend,momentum,True,0.5347705783516027,0.6326530612244898,0.7672413793103449,False
breakout,dual_momentum,breakout,momentum,True,0.5227607365028695,0.5969543147208122,0.7555418719211823,False
ma_crossover,atr_sized,trend,sma-gated,True,0.513824146410215,0.634313725490196,0.770320197044335,False
bb_breakout,obv_trend,breakout,volume-flow,True,0.5085494378013922,0.49876543209876545,0.75,False
keltner,sma_regime,breakout,sma-gated,True,0.4974178220433956,0.431980906921241,0.7068965517241379,False
keltner,garch_voltarget,breakout,sma-gated,True,0.4973605295883072,0.431980906921241,0.7068965517241379,False
keltner,voltarget,breakout,sma-gated,True,0.4949193108133346,0.431980906921241,0.7068965517241379,False
obv_trend,dual_momentum,volume-flow,momentum,True,0.48495681617714864,0.5792079207920792,0.7383004926108374,False
rsi,stochastic,oscillator-reversion,oscillator-reversion,False,0.48426473715511076,0.39655172413793105,0.8060344827586207,False
ichimoku,vol_regime,trend,regime-filter,True,0.48291202433057134,0.48877805486284287,0.7475369458128078,False
keltner,atr_sized,breakout,sma-gated,True,0.4822575256041178,0.431980906921241,0.7068965517241379,False
ts_momentum,adx_trend,momentum,regime-filter,True,0.475440592160308,0.425206124852768,0.6995073891625616,False
sma_regime,adx_trend,sma-gated,regime-filter,True,0.4725523218643863,0.4235294117647059,0.6982758620689655,False
adx_trend,garch_voltarget,regime-filter,sma-gated,True,0.4721308393135583,0.4235294117647059,0.6982758620689655,False
voltarget,adx_trend,sma-gated,regime-filter,True,0.4687768402070261,0.4235294117647059,0.6982758620689655,False
ts_momentum,vol_regime,momentum,regime-filter,True,0.4624636427171223,0.4742729306487696,0.7105911330049262,False
ma_crossover,keltner,trend,breakout,True,0.4617606959505138,0.40898617511520735,0.6841133004926109,False
adx_trend,atr_sized,regime-filter,sma-gated,True,0.45951216252575183,0.4235294117647059,0.6982758620689655,False
ma_crossover,adx_trend,trend,regime-filter,True,0.45413356705858726,0.4107551487414188,0.6828817733990148,False
bb_breakout,ichimoku,breakout,trend,True,0.45184214061433536,0.4608695652173913,0.7327586206896551,False
breakout,obv_trend,breakout,volume-flow,True,0.44961477072171463,0.53276955602537,0.7278325123152709,False
keltner,ts_momentum,breakout,momentum,True,0.4478720121095855,0.40350877192982454,0.6859605911330049,False
breakout,garch_voltarget,breakout,sma-gated,True,0.440843637176379,0.5390781563126252,0.7167487684729064,False
ma_crossover,breakout,trend,breakout,True,0.44075414366755794,0.5435643564356436,0.7161330049261084,False
breakout,voltarget,breakout,sma-gated,True,0.43926607603368056,0.5390781563126252,0.7167487684729064,False
bb_breakout,ma_ribbon,breakout,trend,True,0.4387825841380373,0.3566009104704097,0.47783251231527096,False
breakout,sma_regime,breakout,sma-gated,True,0.4382201156146135,0.5390781563126252,0.7167487684729064,False
keltner,obv_trend,breakout,volume-flow,True,0.4205922019493972,0.39424280350438046,0.7019704433497537,False
keltner,dual_momentum,breakout,momentum,True,0.41761209837888785,0.383668903803132,0.6607142857142857,False
obv_trend,ichimoku,volume-flow,trend,True,0.41394082376021846,0.5063025210084033,0.7105911330049262,False
breakout,ts_momentum,breakout,momentum,True,0.41092494488708037,0.5222993062438057,0.7032019704433498,False
macd,bb_breakout,trend,breakout,True,0.40630923627706445,0.432194046306505,0.6828817733990148,False
breakout,atr_sized,breakout,sma-gated,True,0.3953512630530534,0.5390781563126252,0.7167487684729064,False
bb_breakout,sma_regime,breakout,sma-gated,True,0.39470989230298553,0.42543859649122806,0.6773399014778325,False
