a,b,family_a,family_b,cross_family,corr,agree_active,agree_all,redundant
voltarget,garch_voltarget,sma-gated,sma-gated,False,0.9962186039489632,1.0,1.0,True
sma_regime,garch_voltarget,sma-gated,sma-gated,False,0.9846589075061251,1.0,1.0,True
sma_regime,voltarget,sma-gated,sma-gated,False,0.9817148945473515,1.0,1.0,True
bb_reversion,zscore,mean-reversion,mean-reversion,False,0.9799825782423577,0.9709821428571429,0.9919950738916257,True
atr_sized,garch_voltarget,sma-gated,sma-gated,False,0.9733513015174018,1.0,1.0,True
voltarget,atr_sized,sma-gated,sma-gated,False,0.9707197174852856,1.0,1.0,True
sma_regime,atr_sized,sma-gated,sma-gated,False,0.9534784867831484,1.0,1.0,True
ts_momentum,sma_regime,momentum,sma-gated,True,0.8334958369808972,0.8438576349024111,0.916256157635468,True
ma_crossover,ma_ribbon,trend,trend,False,0.8301894124448217,0.6241666666666666,0.7222906403940886,True
ts_momentum,garch_voltarget,momentum,sma-gated,True,0.819997589318225,0.8438576349024111,0.916256157635468,True
ts_momentum,voltarget,momentum,sma-gated,True,0.8188573495873847,0.8438576349024111,0.916256157635468,True
bb_breakout,keltner,breakout,breakout,False,0.7995644596657107,0.7240618101545254,0.9230295566502463,False
ts_momentum,atr_sized,momentum,sma-gated,True,0.7865034993371655,0.8438576349024111,0.916256157635468,False
breakout,bb_breakout,breakout,breakout,False,0.7714406441166697,0.7118353344768439,0.896551724137931,False
keltner,adx_trend,breakout,regime-filter,True,0.7620924649595728,0.6861826697892272,0.9174876847290641,False
ma_ribbon,ichimoku,trend,trend,False,0.7504676875116659,0.5166112956810631,0.6416256157635468,False
ma_crossover,ichimoku,trend,trend,False,0.7443509346234289,0.733921815889029,0.8700738916256158,False
sma_regime,ichimoku,sma-gated,trend,True,0.7413047044932479,0.7300613496932515,0.8645320197044335,False
ichimoku,garch_voltarget,trend,sma-gated,True,0.7206736049176818,0.7300613496932515,0.8645320197044335,False
rsi,grid,oscillator-reversion,mean-reversion,True,0.7189335220985437,0.3608490566037736,0.666256157635468,False
voltarget,ichimoku,sma-gated,trend,True,0.7177771800099049,0.7300613496932515,0.8645320197044335,False
ichimoku,atr_sized,trend,sma-gated,True,0.711630002249784,0.7300613496932515,0.8645320197044335,False
breakout,keltner,breakout,breakout,False,0.7044573257562444,0.6053097345132743,0.8626847290640394,False
voltarget,vol_regime,sma-gated,regime-filter,True,0.6963973937345915,0.5420918367346939,0.7789408866995073,False
ts_momentum,ichimoku,momentum,trend,True,0.6962618909849999,0.6915887850467289,0.8374384236453202,False
vol_regime,atr_sized,regime-filter,sma-gated,True,0.6899445661461266,0.5420918367346939,0.7789408866995073,False
breakout,ma_ribbon,breakout,trend,True,0.6781286091348375,0.4683333333333333,0.6071428571428571,False
bb_breakout,adx_trend,breakout,regime-filter,True,0.6703837675699428,0.5996055226824457,0.875,False
vol_regime,garch_voltarget,regime-filter,sma-gated,True,0.6688755626799507,0.5420918367346939,0.7789408866995073,False
sma_regime,ma_ribbon,sma-gated,trend,True,0.6255406208168215,0.5961383748994369,0.6908866995073891,False
zscore,grid,mean-reversion,mean-reversion,False,0.6225674199584085,0.4497175141242938,0.7001231527093597,False
breakout,adx_trend,breakout,regime-filter,True,0.6211545671407099,0.5487603305785124,0.8318965517241379,False
sma_regime,vol_regime,sma-gated,regime-filter,True,0.616263555379537,0.5420918367346939,0.7789408866995073,False
bb_reversion,grid,mean-reversion,mean-reversion,False,0.6136654212021542,0.46440677966101696,0.708128078817734,False
bb_reversion,vwap_reversion,mean-reversion,mean-reversion,False,0.6103148398008382,0.5482673267326733,0.7752463054187192,False
ts_momentum,ma_ribbon,momentum,trend,True,0.6099931993520389,0.6111553784860557,0.6995073891625616,False
ma_ribbon,garch_voltarget,trend,sma-gated,True,0.6081283864729815,0.5961383748994369,0.6908866995073891,False
breakout,ichimoku,breakout,trend,True,0.6073464660917716,0.5989232839838493,0.8165024630541872,False
ma_crossover,ts_momentum,trend,momentum,True,0.6050417989696003,0.6589229144667371,0.8011083743842364,False
voltarget,ma_ribbon,sma-gated,trend,True,0.6041032636266784,0.5961383748994369,0.6908866995073891,False
vwap_reversion,zscore,mean-reversion,mean-reversion,False,0.5976943982421361,0.5321782178217822,0.7672413793103449,False
ma_ribbon,atr_sized,trend,sma-gated,True,0.5932419234707774,0.5961383748994369,0.6908866995073891,False
adx_trend,ma_ribbon,regime-filter,trend,True,0.5875874625877892,0.3027295285359802,0.48091133004926107,False
stochastic,grid,oscillator-reversion,mean-reversion,True,0.5857351370971322,0.5148514851485149,0.728448275862069,False
ma_crossover,sma_regime,trend,sma-gated,True,0.5844080993066021,0.6395721925133689,0.7924876847290641,False
vwap_reversion,grid,mean-reversion,mean-reversion,False,0.5816676586918331,0.6795523906408952,0.8060344827586207,False
keltner,ma_ribbon,breakout,trend,True,0.5777134512701118,0.2875,0.4735221674876847,False
breakout,dual_momentum,breakout,momentum,True,0.5743986979947132,0.5777262180974478,0.7758620689655172,False
ma_crossover,garch_voltarget,trend,sma-gated,True,0.5715795829238389,0.6395721925133689,0.7924876847290641,False
adx_trend,ichimoku,regime-filter,trend,True,0.5657593514340543,0.49850299401197606,0.7937192118226601,False
ma_crossover,voltarget,trend,sma-gated,True,0.5655678314885351,0.6395721925133689,0.7924876847290641,False
bb_breakout,ma_ribbon,breakout,trend,True,0.5648839848543404,0.36219816819317235,0.5283251231527094,False
keltner,ichimoku,breakout,trend,True,0.5629793697025091,0.4801829268292683,0.7900246305418719,False
bb_breakout,dual_momentum,breakout,momentum,True,0.5579782800050819,0.5067155067155067,0.7512315270935961,False
ma_crossover,atr_sized,trend,sma-gated,True,0.5517446996720247,0.6395721925133689,0.7924876847290641,False
obv_trend,dual_momentum,volume-flow,momentum,True,0.5409539427213771,0.6118626430801248,0.770320197044335,False
macd,dual_momentum,trend,momentum,True,0.532841265445515,0.6226415094339622,0.7660098522167488,False
bb_breakout,obv_trend,breakout,volume-flow,True,0.5193969925580945,0.4856070087609512,0.7469211822660099,False
breakout,obv_trend,breakout,volume-flow,True,0.5169169000245896,0.5374707259953162,0.7567733990147784,False
ma_crossover,breakout,trend,breakout,True,0.5136186040924355,0.5351288056206089,0.7555418719211823,False
ts_momentum,vol_regime,momentum,regime-filter,True,0.5124272590170272,0.46878680800942285,0.7222906403940886,False
stochastic,vwap_reversion,oscillator-reversion,mean-reversion,True,0.5109621615593335,0.5205479452054794,0.7413793103448276,False
bb_breakout,ichimoku,breakout,trend,True,0.505124264286187,0.4811715481171548,0.770935960591133,False
breakout,sma_regime,breakout,sma-gated,True,0.48877166959207213,0.5191873589164786,0.7376847290640394,False
breakout,atr_sized,breakout,sma-gated,True,0.4832065645949957,0.5191873589164786,0.7376847290640394,False
ma_crossover,adx_trend,trend,regime-filter,True,0.474992049910556,0.42458808618504434,0.7204433497536946,False
