a,b,family_a,family_b,cross_family,corr,agree_active,agree_all,redundant
voltarget,garch_voltarget,risk-overlay,risk-overlay,False,0.9927999890332425,1.0,1.0,True
atr_sized,garch_voltarget,risk-overlay,risk-overlay,False,0.9832963487041709,1.0,1.0,True
voltarget,atr_sized,risk-overlay,risk-overlay,False,0.977317666597261,1.0,1.0,True
bb_reversion,zscore,mean-reversion,mean-reversion,False,0.9643439446200353,0.9493670886075949,0.9852216748768473,True
sma_regime,garch_voltarget,regime-filter,risk-overlay,True,0.9585648014530617,1.0,1.0,True
sma_regime,atr_sized,regime-filter,risk-overlay,True,0.9539636863815013,1.0,1.0,True
sma_regime,voltarget,regime-filter,risk-overlay,True,0.9522117468770344,1.0,1.0,True
ma_crossover,ma_ribbon,trend,trend,False,0.8457459099635235,0.6022275258552108,0.6921182266009852,True
voltarget,vol_regime,risk-overlay,regime-filter,True,0.7684297170175106,0.514367816091954,0.791871921182266,False
breakout,bb_breakout,breakout,breakout,False,0.760929691602452,0.6996699669966997,0.8879310344827587,False
bb_breakout,keltner,breakout,breakout,False,0.7535904341463973,0.6622807017543859,0.9051724137931034,False
sma_regime,ichimoku,regime-filter,trend,True,0.7524621236451294,0.7275204359673024,0.8768472906403941,False
ichimoku,atr_sized,trend,risk-overlay,True,0.7482553903550783,0.7275204359673024,0.8768472906403941,False
vol_regime,garch_voltarget,regime-filter,risk-overlay,True,0.738653428223828,0.514367816091954,0.791871921182266,False
ma_ribbon,ichimoku,trend,trend,False,0.7253289092147158,0.45505171042163883,0.5782019704433498,False
ichimoku,garch_voltarget,trend,risk-overlay,True,0.7135831541815565,0.7275204359673024,0.8768472906403941,False
voltarget,ichimoku,risk-overlay,trend,True,0.7094866208711742,0.7275204359673024,0.8768472906403941,False
vol_regime,atr_sized,regime-filter,risk-overlay,True,0.705727738993859,0.514367816091954,0.791871921182266,False
keltner,adx_trend,breakout,regime-filter,True,0.6925248111844008,0.6044776119402985,0.9020935960591133,False
ma_crossover,ichimoku,trend,trend,False,0.6806002806672514,0.6633291614518148,0.8343596059113301,False
ts_momentum,sma_regime,momentum,regime-filter,True,0.666036328349289,0.686411149825784,0.833743842364532,False
breakout,keltner,breakout,breakout,False,0.6532452117849487,0.5389830508474577,0.8325123152709359,False
bb_reversion,grid,mean-reversion,mean-reversion,False,0.6407523298223674,0.5073446327683616,0.7315270935960592,False
breakout,ichimoku,breakout,trend,True,0.6357613452273204,0.6206415620641562,0.8325123152709359,False
breakout,ma_ribbon,breakout,trend,True,0.633879245489265,0.4693715194908512,0.5892857142857143,False
rsi,grid,oscillator-reversion,mean-reversion,True,0.626816233364533,0.30697674418604654,0.6330049261083743,False
ts_momentum,atr_sized,momentum,risk-overlay,True,0.6267135801708013,0.686411149825784,0.833743842364532,False
bb_reversion,vwap_reversion,mean-reversion,mean-reversion,False,0.6225623178465853,0.5741206030150754,0.791256157635468,False
