a,b,family_a,family_b,cross_family,corr,agree_active,agree_all,redundant
bb_reversion,zscore,mean-reversion,mean-reversion,False,1.0,1.0,1.0,True
voltarget,garch_voltarget,sma-gated,sma-gated,False,0.9964425880573675,1.0,1.0,True
voltarget,atr_sized,sma-gated,sma-gated,False,0.984888801059574,1.0,1.0,True
atr_sized,garch_voltarget,sma-gated,sma-gated,False,0.9822994121598361,1.0,1.0,True
sma_regime,garch_voltarget,sma-gated,sma-gated,False,0.9793897790433835,1.0,1.0,True
sma_regime,voltarget,sma-gated,sma-gated,False,0.9751840767552334,1.0,1.0,True
sma_regime,atr_sized,sma-gated,sma-gated,False,0.9726429156094836,1.0,1.0,True
bb_breakout,keltner,breakout,breakout,False,0.8055436163276977,0.7552182163187856,0.9205665024630542,True
ichimoku,atr_sized,trend,sma-gated,True,0.7927378930537405,0.755192878338279,0.8983990147783252,False
sma_regime,ichimoku,sma-gated,trend,True,0.7921224881626516,0.755192878338279,0.8983990147783252,False
voltarget,vol_regime,sma-gated,regime-filter,True,0.7695059122176989,0.5904907975460123,0.8355911330049262,False
stochastic,vwap_reversion,oscillator-reversion,mean-reversion,True,0.7570514393995694,0.745679012345679,0.8731527093596059,False
ichimoku,garch_voltarget,trend,sma-gated,True,0.7553001329563176,0.755192878338279,0.8983990147783252,False
voltarget,ichimoku,sma-gated,trend,True,0.7525424446602708,0.755192878338279,0.8983990147783252,False
vol_regime,garch_voltarget,regime-filter,sma-gated,True,0.7525101691349069,0.5904907975460123,0.8355911330049262,False
breakout,bb_breakout,breakout,breakout,False,0.7419008178650398,0.6890034364261168,0.8885467980295566,False
vol_regime,atr_sized,regime-filter,sma-gated,True,0.7368104397320202,0.5904907975460123,0.8355911330049262,False
stochastic,zscore,oscillator-reversion,mean-reversion,True,0.7264464287120244,0.6806596701649176,0.8688423645320197,False
bb_reversion,stochastic,mean-reversion,oscillator-reversion,True,0.7264464287120244,0.6806596701649176,0.8688423645320197,False
ma_crossover,sma_regime,trend,sma-gated,True,0.7240742307556114,0.7192755498059509,0.8663793103448276,False
zscore,grid,mean-reversion,mean-reversion,False,0.7187733152252491,0.49946178686759957,0.7136699507389163,False
bb_reversion,grid,mean-reversion,mean-reversion,False,0.7187733152252491,0.49946178686759957,0.7136699507389163,False
sma_regime,vol_regime,sma-gated,regime-filter,True,0.6806189648507791,0.5904907975460123,0.8355911330049262,False
ma_crossover,garch_voltarget,trend,sma-gated,True,0.6786394667989741,0.7192755498059509,0.8663793103448276,False
ma_crossover,voltarget,trend,sma-gated,True,0.6729865063344096,0.7192755498059509,0.8663793103448276,False
ma_crossover,atr_sized,trend,sma-gated,True,0.6709607355119237,0.7192755498059509,0.8663793103448276,False
rsi,grid,oscillator-reversion,mean-reversion,True,0.664607334914088,0.4685082872928177,0.7038177339901478,False
ma_ribbon,ichimoku,trend,trend,False,0.6637759220290432,0.4224343675417661,0.5529556650246306,False
ma_crossover,ts_momentum,trend,momentum,True,0.6622026621999056,0.6735688185140073,0.8349753694581281,False
ts_momentum,sma_regime,momentum,sma-gated,True,0.6552070025927399,0.6633785450061652,0.8318965517241379,False
bb_reversion,vwap_reversion,mean-reversion,mean-reversion,False,0.6513710140753605,0.6022727272727273,0.8060344827586207,False
vwap_reversion,zscore,mean-reversion,mean-reversion,False,0.6513710140753604,0.6022727272727273,0.8060344827586207,False
keltner,atr_sized,breakout,sma-gated,True,0.6326666946121657,0.5509641873278237,0.7992610837438424,False
breakout,keltner,breakout,breakout,False,0.6312152925643687,0.5917721518987342,0.8411330049261084,False
keltner,ichimoku,breakout,trend,True,0.6265884229764538,0.5876777251184834,0.8392857142857143,False
sma_regime,ma_ribbon,sma-gated,trend,True,0.6165772560535314,0.5174880763116058,0.6262315270935961,False
ts_momentum,atr_sized,momentum,sma-gated,True,0.6165043898706328,0.6633785450061652,0.8318965517241379,False
breakout,ma_ribbon,breakout,trend,True,0.6159012740548352,0.4220985691573927,0.5523399014778325,False
ts_momentum,garch_voltarget,momentum,sma-gated,True,0.6060348760972823,0.6633785450061652,0.8318965517241379,False
ma_ribbon,atr_sized,trend,sma-gated,True,0.6024707427797402,0.5174880763116058,0.6262315270935961,False
ma_crossover,ichimoku,trend,trend,False,0.6007273351466982,0.5873850197109067,0.8066502463054187,False
ts_momentum,voltarget,momentum,sma-gated,True,0.5985781446988543,0.6633785450061652,0.8318965517241379,False
macd,dual_momentum,trend,momentum,True,0.5973024877683026,0.6676646706586826,0.7949507389162561,False
stochastic,grid,oscillator-reversion,mean-reversion,True,0.5971005011890542,0.5645981688708036,0.7364532019704434,False
vwap_reversion,grid,mean-reversion,mean-reversion,False,0.5868843107323666,0.6416747809152873,0.7733990147783252,False
bb_breakout,obv_trend,breakout,volume-flow,True,0.5832638653810883,0.5295536791314838,0.7598522167487685,False
bb_breakout,ma_ribbon,breakout,trend,True,0.5810522696691114,0.3512658227848101,0.49507389162561577,False
keltner,sma_regime,breakout,sma-gated,True,0.5794132385328049,0.5509641873278237,0.7992610837438424,False
keltner,ma_ribbon,breakout,trend,True,0.5764350851853567,0.37272006344171293,0.5129310344827587,False
ma_ribbon,garch_voltarget,trend,sma-gated,True,0.5697953574464192,0.5174880763116058,0.6262315270935961,False
keltner,obv_trend,breakout,volume-flow,True,0.567634005615078,0.531435349940688,0.7567733990147784,False
voltarget,ma_ribbon,sma-gated,trend,True,0.5671651529384141,0.5174880763116058,0.6262315270935961,False
keltner,voltarget,breakout,sma-gated,True,0.5671335295887664,0.5509641873278237,0.7992610837438424,False
ma_crossover,ma_ribbon,trend,trend,False,0.5651272023828143,0.5240346729708432,0.6280788177339901,False
keltner,garch_voltarget,breakout,sma-gated,True,0.5553446466598435,0.5509641873278237,0.7992610837438424,False
rsi,bb_reversion,oscillator-reversion,mean-reversion,True,0.5522170602000634,0.5099337748344371,0.8177339901477833,False
rsi,zscore,oscillator-reversion,mean-reversion,True,0.5522170602000634,0.5099337748344371,0.8177339901477833,False
keltner,dual_momentum,breakout,momentum,True,0.549361722244993,0.5224787363304981,0.7580049261083743,False
obv_trend,dual_momentum,volume-flow,momentum,True,0.5450458449842419,0.6236012207527976,0.7721674876847291,False
bb_breakout,ichimoku,breakout,trend,True,0.5349839106489956,0.5061349693251533,0.8017241379310345,False
bb_breakout,adx_trend,breakout,regime-filter,True,0.5266745442230831,0.3495575221238938,0.8189655172413793,False
ts_momentum,ichimoku,momentum,trend,True,0.4988441909725164,0.5123152709359606,0.7561576354679803,False
breakout,obv_trend,breakout,volume-flow,True,0.4890222474194753,0.5072625698324023,0.728448275862069,False
keltner,adx_trend,breakout,regime-filter,True,0.48579904378176947,0.31875,0.7986453201970444,False
ichimoku,vol_regime,trend,regime-filter,True,0.48184919293707623,0.444794952681388,0.7832512315270936,False
bb_breakout,dual_momentum,breakout,momentum,True,0.4779280132461052,0.4642857142857143,0.7229064039408867,False
breakout,ichimoku,breakout,trend,True,0.4756008122124083,0.47844228094575797,0.7690886699507389,False
obv_trend,ma_ribbon,volume-flow,trend,True,0.4643055049100273,0.5641025641025641,0.6440886699507389,False
bb_breakout,atr_sized,breakout,sma-gated,True,0.45118890507874126,0.4213917525773196,0.7235221674876847,False
ma_crossover,vol_regime,trend,regime-filter,True,0.45078687000370843,0.4197860962566845,0.7327586206896551,False
breakout,adx_trend,breakout,regime-filter,True,0.4499191524147403,0.28677839851024206,0.7641625615763546,False
keltner,vol_regime,breakout,regime-filter,True,0.44150637483041955,0.4128289473684211,0.7801724137931034,False
ts_momentum,ma_ribbon,momentum,trend,True,0.4414689848461214,0.4893292682926829,0.5874384236453202,False
obv_trend,ichimoku,volume-flow,trend,True,0.43544772684825017,0.473224043715847,0.7032019704433498,False
rsi,stochastic,oscillator-reversion,oscillator-reversion,False,0.42179800260368466,0.41879194630872485,0.7333743842364532,False
adx_trend,hurst_switch,regime-filter,regime-filter,False,0.4166937954310206,0.2471264367816092,0.9193349753694581,False
keltner,ts_momentum,breakout,momentum,True,0.41201828280775615,0.43329253365973075,0.7149014778325123,False
breakout,atr_sized,breakout,sma-gated,True,0.40936127575054054,0.4128878281622912,0.6970443349753694,False
bb_breakout,sma_regime,breakout,sma-gated,True,0.40930477269088583,0.4213917525773196,0.7235221674876847,False
macd,obv_trend,trend,volume-flow,True,0.3991259225300326,0.5550500454959054,0.6988916256157636,False
obv_trend,atr_sized,volume-flow,sma-gated,True,0.39679312684522355,0.47047047047047047,0.6742610837438424,False
adx_trend,ma_ribbon,regime-filter,trend,True,0.3962280927144526,0.12114014251781473,0.31650246305418717,False
bb_breakout,voltarget,breakout,sma-gated,True,0.39172999720637236,0.4213917525773196,0.7235221674876847,False
adx_trend,ichimoku,regime-filter,trend,True,0.388733274101169,0.2545454545454545,0.7475369458128078,False
macd,keltner,trend,breakout,True,0.3801470916187515,0.4140786749482402,0.6514778325123153,False
dual_momentum,atr_sized,momentum,sma-gated,True,0.3749156548448651,0.4483805668016194,0.6644088669950738,False
bb_breakout,garch_voltarget,breakout,sma-gated,True,0.37454152561788484,0.4213917525773196,0.7235221674876847,False
breakout,dual_momentum,breakout,momentum,True,0.3671648628144569,0.43122270742358076,0.6791871921182266,False
obv_trend,sma_regime,volume-flow,sma-gated,True,0.3567360864789051,0.47047047047047047,0.6742610837438424,False
