a,b,family_a,family_b,cross_family,corr,agree_active,agree_all,redundant
voltarget,garch_voltarget,sma-gated,sma-gated,False,1.0,1.0,1.0,True
sma_regime,garch_voltarget,sma-gated,sma-gated,False,1.0,1.0,1.0,True
sma_regime,voltarget,sma-gated,sma-gated,False,1.0,1.0,1.0,True
bb_reversion,zscore,mean-reversion,mean-reversion,False,0.9829177948636331,0.9758797943851325,0.9928838077461503,True
atr_sized,garch_voltarget,sma-gated,sma-gated,False,0.9171797885335949,1.0,1.0,True
sma_regime,atr_sized,sma-gated,sma-gated,False,0.9171797885335949,1.0,1.0,True
voltarget,atr_sized,sma-gated,sma-gated,False,0.9171797885335949,1.0,1.0,True
rsi,bb_reversion,oscillator-reversion,mean-reversion,True,0.8407998512232306,0.7996575342465754,0.9317545496966869,True
rsi,zscore,oscillator-reversion,mean-reversion,True,0.8371260205971855,0.7935082872928176,0.9302379841343911,True
ts_momentum,dual_momentum,momentum,momentum,False,0.8094755278641108,0.8217951517798646,0.9048063462435838,True
rsi,vwap_reversion,oscillator-reversion,mean-reversion,True,0.784502342702016,0.7467434110875493,0.9024731684554363,False
dual_momentum,ma_ribbon,momentum,trend,True,0.771476823841799,0.6260567632850241,0.7110359309379375,False
ts_momentum,ma_ribbon,momentum,trend,True,0.7605720923978471,0.6260567632850241,0.7110359309379375,False
ma_crossover,ichimoku,trend,trend,False,0.7232787388460631,0.719346675868415,0.8576761549230051,False
bb_reversion,vwap_reversion,mean-reversion,mean-reversion,False,0.7197528802922118,0.674383644016837,0.8736584227718152,False
vwap_reversion,zscore,mean-reversion,mean-reversion,False,0.7128981221763913,0.6645512239347234,0.8705086327578161,False
vol_regime,atr_sized,regime-filter,sma-gated,True,0.7006530224372791,0.5422138836772983,0.8007466168922072,False
zscore,ou_reversion,mean-reversion,mean-reversion,False,0.6954231018348077,0.5680713128038898,0.8756416238917406,False
ma_crossover,ma_ribbon,trend,trend,False,0.6886144981235484,0.6028464419475655,0.6907372841810546,False
bb_reversion,ou_reversion,mean-reversion,mean-reversion,False,0.6835437417526965,0.5543693159351523,0.8685254316378908,False
breakout,bb_breakout,breakout,breakout,False,0.6675836164785723,0.6032640949554896,0.8440270648623425,False
rsi,grid,oscillator-reversion,mean-reversion,True,0.6580567558735883,0.5724590163934427,0.7718152123191787,False
ma_crossover,dual_momentum,trend,momentum,True,0.6506395366030205,0.6936309645709605,0.8254783014465702,False
bb_breakout,ma_ribbon,breakout,trend,True,0.6400357896346172,0.3335352006056018,0.48646756882874476,False
bb_reversion,grid,mean-reversion,mean-reversion,False,0.6399150896290449,0.5378021978021978,0.7546663555762949,False
breakout,ma_ribbon,breakout,trend,True,0.6391316410133722,0.47759843113591793,0.5960102659822678,False
zscore,grid,mean-reversion,mean-reversion,False,0.6350434430291428,0.5267444419986793,0.7491833877741484,False
sma_regime,vol_regime,sma-gated,regime-filter,True,0.6330898678006426,0.5422138836772983,0.8007466168922072,False
voltarget,vol_regime,sma-gated,regime-filter,True,0.6330898678006426,0.5422138836772983,0.8007466168922072,False
vol_regime,garch_voltarget,regime-filter,sma-gated,True,0.6330898678006425,0.5422138836772983,0.8007466168922072,False
ma_crossover,ts_momentum,trend,momentum,True,0.6193338828445925,0.6707070707070707,0.8098460102659822,False
rsi,stochastic,oscillator-reversion,oscillator-reversion,False,0.6183997918106129,0.5781961737017917,0.8379608026131591,False
stochastic,vwap_reversion,oscillator-reversion,mean-reversion,True,0.6151640097525134,0.5781786941580757,0.8281614559029398,False
vwap_reversion,grid,mean-reversion,mean-reversion,False,0.6148392522978734,0.5816305034758795,0.7683154456369575,False
bb_breakout,adx_trend,breakout,regime-filter,True,0.6120299041908799,0.559539052496799,0.8394773681754549,False
ma_ribbon,ichimoku,trend,trend,False,0.6010577228032099,0.5011286681715575,0.613275781614559,False
bb_reversion,stochastic,mean-reversion,oscillator-reversion,True,0.5946544989396543,0.5537600994406464,0.8324778348110126,False
obv_trend,ma_ribbon,volume-flow,trend,True,0.5935598223816342,0.6169838945827233,0.6948203453103127,False
stochastic,zscore,oscillator-reversion,mean-reversion,True,0.5907432519410526,0.5487613671997491,0.8321278581427904,False
ts_momentum,ichimoku,momentum,trend,True,0.5894001466024164,0.6158458244111349,0.7907139524031731,False
rsi,ou_reversion,oscillator-reversion,mean-reversion,True,0.5893168635351034,0.46799431009957326,0.8254783014465702,False
breakout,adx_trend,breakout,regime-filter,True,0.5859747853728581,0.56574024585783,0.8104293047130191,False
ichimoku,garch_voltarget,trend,sma-gated,True,0.5591485583992795,0.5875781948168007,0.7846476901539897,False
voltarget,ichimoku,sma-gated,trend,True,0.5591485583992793,0.5875781948168007,0.7846476901539897,False
sma_regime,ichimoku,sma-gated,trend,True,0.5591485583992793,0.5875781948168007,0.7846476901539897,False
ts_momentum,obv_trend,momentum,volume-flow,True,0.5584992227275061,0.6387673578086361,0.778464769015399,False
dual_momentum,ichimoku,momentum,trend,True,0.5583483671557219,0.5936642027455121,0.7755482967802146,False
bb_breakout,ts_momentum,breakout,momentum,True,0.5580800346579493,0.49776942944353136,0.7504666355576295,False
breakout,ts_momentum,breakout,momentum,True,0.5364595994519618,0.5672340425531915,0.7627158189454036,False
stochastic,grid,oscillator-reversion,mean-reversion,True,0.5343880683172053,0.4792155190790876,0.7150023331777882,False
adx_trend,ma_ribbon,regime-filter,trend,True,0.5201804579004331,0.3810375670840787,0.515632291180588,False
breakout,obv_trend,breakout,volume-flow,True,0.5082613646888574,0.5494929006085193,0.7409006066262249,False
bb_breakout,dual_momentum,breakout,momentum,True,0.507375667291119,0.4650895728066146,0.7283014465702287,False
bb_breakout,keltner,breakout,breakout,False,0.5022999498131125,0.32301480484522205,0.8239617358842743,False
vwap_reversion,ou_reversion,mean-reversion,mean-reversion,False,0.49695990243645555,0.39204011281729867,0.7736817545496967,False
ma_crossover,sma_regime,trend,sma-gated,True,0.49407694843425415,0.566940164098459,0.7475501633224452,False
ma_crossover,voltarget,trend,sma-gated,True,0.49407694843425415,0.566940164098459,0.7475501633224452,False
ma_crossover,garch_voltarget,trend,sma-gated,True,0.49407694843425415,0.566940164098459,0.7475501633224452,False
ts_momentum,adx_trend,momentum,regime-filter,True,0.4845122137512488,0.49301004805591964,0.7292347176854876,False
ichimoku,atr_sized,trend,sma-gated,True,0.48212563540460496,0.5875781948168007,0.7846476901539897,False
bb_breakout,obv_trend,breakout,volume-flow,True,0.4806720238221983,0.4438897330149772,0.7011199253383108,False
breakout,dual_momentum,breakout,momentum,True,0.478535114650578,0.5282157676348548,0.7347176854876342,False
obv_trend,dual_momentum,volume-flow,momentum,True,0.47488454028674104,0.5848050036791759,0.7367008866075595,False
bb_breakout,ichimoku,breakout,trend,True,0.4584655450789299,0.4411461022199277,0.7474335044330378,False
obv_trend,adx_trend,volume-flow,regime-filter,True,0.4529647421307392,0.47194036032304826,0.7025198320111993,False
ma_crossover,atr_sized,trend,sma-gated,True,0.4483944622413291,0.566940164098459,0.7475501633224452,False
keltner,adx_trend,breakout,regime-filter,True,0.43835966541411225,0.2676842889054356,0.7705319645356976,False
sma_regime,ma_ribbon,sma-gated,trend,True,0.4335715750101359,0.49291907514450867,0.5906439570695287,False
voltarget,ma_ribbon,sma-gated,trend,True,0.4335715750101359,0.49291907514450867,0.5906439570695287,False
ma_ribbon,garch_voltarget,trend,sma-gated,True,0.4335715750101358,0.49291907514450867,0.5906439570695287,False
ma_crossover,bb_breakout,trend,breakout,True,0.4262588806526964,0.4163485290815181,0.696803546430238,False
ts_momentum,garch_voltarget,momentum,sma-gated,True,0.41971451643292185,0.5210779595765159,0.7097526831544564,False
ts_momentum,sma_regime,momentum,sma-gated,True,0.41971451643292185,0.5210779595765159,0.7097526831544564,False
ts_momentum,voltarget,momentum,sma-gated,True,0.41971451643292185,0.5210779595765159,0.7097526831544564,False
