label,kind,horizon,families,mode,rankable,full_return,full_sharpe,full_maxdd,full_trades,full_exposure,is_return,is_sharpe,is_maxdd,is_trades,is_exposure,oos_return,oos_sharpe,oos_maxdd,oos_trades,oos_exposure
buy_and_hold,single,short,baseline,-,False,-0.5719545817507035,-0.8670942712222409,-0.7580228257843878,1,0.9998866598662588,-0.508979132545259,-0.9888288490204836,-0.7002425736668392,1,0.9998380829015545,-0.1288155227670601,-0.5227659216068665,-0.3802831245544353,1,0.9996222138269741
ma_crossover_12_48,single,short,trend,-,True,-0.5836839352950051,-1.7576713047013692,-0.693108017353513,113,0.48248894933696024,-0.597248337667211,-2.489640088063266,-0.6806562461981468,84,0.4787888601036269,0.03367932063554968,0.4878034769640287,-0.11788125296125661,29,0.4911220249338874
macd_6_13_5,single,short,trend,-,True,-0.7488909656568598,-2.614169174840862,-0.7701572927360044,656,0.506177037288904,-0.5643282789336147,-2.015583662583143,-0.6474738262561635,452,0.5080958549222798,-0.42359447097602665,-4.621175806005459,-0.4596402390592259,205,0.5017000377786173
ts_momentum_24,single,short,momentum,-,True,-0.6542343602127293,-2.1111214334857875,-0.7240629407411463,390,0.49019607843137253,-0.577969517602068,-2.2720206173732054,-0.6668471595572254,264,0.4878562176165803,-0.1807093226473473,-1.6769021564647826,-0.23279087827197292,126,0.49565545901020025
sma_regime_168,single,short,regime-filter,-,True,-0.5491932275287056,-1.6987832496726047,-0.6195427409446804,176,0.4322792700895387,-0.5139186363893917,-2.100786173444057,-0.5867494949258704,126,0.4331282383419689,-0.07008492518835518,-0.5191947200765371,-0.15175506530470215,49,0.42992066490366454
breakout_12_6,single,short,breakout,-,True,-0.45180931732956364,-1.2659991676895719,-0.5572185271770624,202,0.37844270656239376,-0.29581241689944837,-0.9363971838807226,-0.48009624990108274,143,0.3714378238341969,-0.2215274795719322,-2.271654688951743,-0.2707059324848963,59,0.3947865508122403
bb_breakout_20_2,single,short,breakout,-,True,-0.288683410333504,-0.8415982295394473,-0.41102860446462636,161,0.26260908987872605,-0.23593910504677018,-0.9011861068653788,-0.3845392170927219,111,0.2598769430051813,-0.06903154661509492,-0.6838008081530582,-0.1585080562171988,50,0.26898375519455986
keltner_12_7_2,single,short,breakout,-,True,-0.030765009810543087,-0.06329099263970281,-0.1643761568337967,52,0.08579848124220787,0.05279239813873948,0.44794079122431985,-0.15361008238552196,39,0.09407383419689119,-0.0793674119389598,-1.9537340419050238,-0.08957158870860299,13,0.06649036645258784
rsi_7_30_55,single,short,oscillator-reversion,-,True,-0.4992802783735337,-1.3406461626194415,-0.6196492116238346,181,0.314858891533492,-0.45917179247930395,-1.6203841460511084,-0.5267821118110767,132,0.32011010362694303,-0.074271779402595,-0.527388758955849,-0.23907061535808063,49,0.3026067245938799
stoch_14_3,single,short,oscillator-reversion,-,True,-0.20714977738604756,-0.38611626300897095,-0.3761385366499544,131,0.2828969738184291,-0.1455571722444896,-0.3110392662881074,-0.33807206887736135,94,0.28303108808290156,-0.07879557916989366,-0.7188613232885805,-0.13936475686134137,37,0.2818284850774462
bb_reversion_20_2,single,short,mean-reversion,-,True,-0.3787593567966916,-0.9261918424087155,-0.5233222775601396,174,0.29196418451773776,-0.3730947708219978,-1.2739360788106604,-0.4461107032656838,122,0.2922603626943005,-0.009154117233103554,0.08612728457093836,-0.18023725532311788,52,0.29127313940309785
zscore_20_-2,single,short,mean-reversion,-,True,-0.3547462691739197,-0.8479773860633427,-0.5379608463628739,167,0.2850504363595149,-0.37257720517108206,-1.2846753353994471,-0.4566143687905369,119,0.28821243523316065,0.02829653452487757,0.44118969961133625,-0.19008491935388946,48,0.2776728371741594
vwap_reversion_20_0.01,single,short,mean-reversion,-,True,-0.5868900011183815,-1.6839580193735977,-0.6583291757106361,226,0.3507877139295024,-0.5045271655946356,-1.7765048199296278,-0.5633289349452918,171,0.36738989637305697,-0.17226040879668691,-1.5161099112179437,-0.2334154689378554,55,0.3112958065734794
grid_48_4_0.03,single,short,mean-reversion,-,True,-0.33500045559953595,-1.5587885747246035,-0.40066129371272546,2361,0.17062935318157782,-0.2707390596253523,-1.5929727819275346,-0.33538270196407804,1667,0.1789616062639149,-0.0882650337037243,-1.5102978006030052,-0.1329599769297786,694,0.1510941271281555
obv_trend_24,single,short,volume-flow,-,True,-0.432775958983476,-0.9582592924118202,-0.5330249317940974,489,0.5173977105292984,-0.232990216482312,-0.4989551438335357,-0.45348690076620707,335,0.5082577720207254,-0.25849249202433744,-2.3310891785791883,-0.2935001831226081,153,0.5383452965621458
voltarget_168_24_0.8,single,short,risk-overlay,-,True,-0.5497872098709845,-1.701952833819811,-0.6195427409446791,176,0.43216592995579733,-0.5145590964812237,-2.1050521142663117,-0.5867494949258691,126,0.4329663212435233,-0.07008492518835518,-0.5191947200765371,-0.15175506530470215,49,0.42992066490366454
all(ma_crossover+ts_momentum),pair,short,trend+momentum,all,True,-0.636689310943376,-2.3409888162004955,-0.7136019755771158,245,0.39238354301258077,-0.5935935635352227,-2.7946761414734484,-0.659170106112119,168,0.39248704663212436,-0.10604100609978484,-1.0045655395065816,-0.21007552945331456,77,0.3921420476010578
any(ma_crossover+ts_momentum),pair,short,trend+momentum,any,True,-0.5993262167663778,-1.606915758706782,-0.6979474178580776,251,0.580301484755752,-0.5790795076503872,-2.0540238322942166,-0.6843096544000887,176,0.5741580310880829,-0.04810102972884578,-0.23305811645348795,-0.18742531051438935,75,0.5946354363430298
all(ma_crossover+sma_regime),pair,short,trend+regime-filter,all,True,-0.4101792090513735,-1.3071340731094638,-0.5018917710187415,142,0.330386489856058,-0.39626577836014776,-1.7208443250990042,-0.48498345362676776,97,0.327720207253886,-0.023045622051100723,-0.11264837970385902,-0.15599148231214205,45,0.33660748016622594
any(ma_crossover+sma_regime),pair,short,trend+regime-filter,any,True,-0.6894836593078242,-2.1428389639540217,-0.7567205372149041,141,0.5756545392723563,-0.6845709333029424,-2.879740794116277,-0.732743564566414,109,0.571729274611399,-0.012937675780075764,0.08757754693382412,-0.16424446654574687,31,0.584435209671326
all(ma_crossover+breakout),pair,short,trend+breakout,all,True,-0.5495295815730017,-2.232568105992817,-0.5953091966788066,162,0.27462314405530996,-0.5011303509483362,-2.6560264387214896,-0.5396356316084667,117,0.2657059585492228,-0.0970177895501767,-1.0522570985787922,-0.17051135861567648,45,0.2954287873063846
any(ma_crossover+breakout),pair,short,trend+breakout,any,True,-0.4909350965004301,-1.092036449382408,-0.6381715367902844,150,0.586308511844044,-0.42966717904521634,-1.2131585505759566,-0.6035376762536362,108,0.584520725388601,-0.10742484949866027,-0.7477684838151657,-0.18454551074448025,42,0.5904797884397431
all(ma_crossover+bb_breakout),pair,short,trend+breakout,all,True,-0.5429758532700535,-2.510952054751664,-0.5554726743548992,144,0.2219199818655786,-0.4664820970971467,-2.798067199752376,-0.4771270624398706,98,0.21648316062176165,-0.14337617492629018,-1.7706966682978202,-0.18884029293118834,46,0.23460521344918775
any(ma_crossover+bb_breakout),pair,short,trend+breakout,any,True,-0.35204184398528815,-0.6832231558531932,-0.5995928819453576,130,0.5231780573501077,-0.423211866196879,-1.2827432574648048,-0.5903285267302908,97,0.5221826424870466,0.12339023298264284,1.2400676203544498,-0.1310850975571245,33,0.5255005666792595
all(ma_crossover+keltner),pair,short,trend+breakout,all,True,-0.17288941821940285,-0.983125969014482,-0.23194003378470732,52,0.07933809361895047,-0.10596409082721114,-0.7338706430804728,-0.22955806554146171,39,0.08743523316062177,-0.07485753838916298,-1.8727200710825636,-0.0851117020346866,13,0.06044578768417076
any(ma_crossover+keltner),pair,short,trend+breakout,any,True,-0.5121473406598306,-1.3691344216119674,-0.6597079285463581,113,0.48894933696021764,-0.5257305840947477,-1.9504324080494728,-0.6413180403198236,84,0.4854274611398964,0.02864035288674449,0.44137019808558237,-0.12529850706731077,29,0.4971666037023045
all(ma_crossover+rsi),pair,short,trend+oscillator-reversion,all,True,-0.23176703561279688,-1.5571442901809667,-0.2486684345836901,93,0.04816955684007707,-0.21314226781849122,-1.8425938345890869,-0.22718684995951596,67,0.04987046632124352,-0.023669803361617947,-0.6423768472008466,-0.040940226686468364,26,0.04420098224404987
any(ma_crossover+rsi),pair,short,trend+oscillator-reversion,any,True,-0.7146262264916359,-1.7801088455793324,-0.8465890954011627,194,0.7444179984132381,-0.7093336762471201,-2.4201079011292403,-0.8034829371386583,143,0.7422279792746114,-0.018325565398016996,0.1197947405634247,-0.295221215092205,51,0.7495277672837174
all(ma_crossover+stochastic),pair,short,trend+oscillator-reversion,all,True,-0.2622193459563187,-2.3103040531495176,-0.26802133404246126,69,0.04544939363028448,-0.19665020302036473,-2.131890742340214,-0.21633768867989087,50,0.04776554404145078,-0.08161966702733459,-3.204836294761883,-0.08458506907111242,19,0.04004533434076313
any(ma_crossover+stochastic),pair,short,trend+oscillator-reversion,any,True,-0.5593783759084607,-1.1211604520170406,-0.7287267564683824,169,0.7185764479202086,-0.5794625594664919,-1.6697503311320832,-0.7005946888964172,124,0.7121113989637305,0.04018122202574803,0.5132864251714646,-0.1737261607634242,45,0.7329051756705705
all(ma_crossover+bb_reversion),pair,short,trend+mean-reversion,all,True,-0.10670677997117839,-0.7821616122163478,-0.12675983284026496,81,0.03876232573954437,-0.1081386188806509,-1.0547348763616673,-0.11948267105580566,57,0.03950777202072539,0.0016054500618429834,0.10321894167170594,-0.030620865380210107,24,0.03702304495655459
any(ma_crossover+bb_reversion),pair,short,trend+mean-reversion,any,True,-0.705431418678145,-1.7620781325295793,-0.8378601022754597,196,0.7322906041029128,-0.7124294324643526,-2.4908276980859543,-0.8060303101714493,140,0.7266839378238342,0.024212635799126137,0.40526772167207076,-0.24866261749702556,56,0.7453721193804307
all(ma_crossover+zscore),pair,short,trend+mean-reversion,all,True,-0.10479722943947034,-0.7762960998060866,-0.1197551710290908,77,0.03706222373342401,-0.10399364686750612,-1.0147020891902954,-0.11948267105580566,56,0.038860103626943004,-0.0008968491899157272,0.01569199551647913,-0.030745158228987168,21,0.03286739705326785
