rank,symbol,name,price_usd,market_cap_usd,volume_24h_usd,pegged,local_data
1,BTC,Bitcoin,64401,1292116838768,23034654397,False,True
2,ETH,Ethereum,1873.83,226118648452,6900768657,False,True
3,USDT,Tether,0.999346,183130714987,35535888361,True,False
4,BNB,BNB,602.76,80268414011,587140285,False,False
5,USDC,USDC,0.999714,72163923594,10364798487,True,False
6,XRP,XRP,1.074,67164023684,919389400,False,False
7,SOL,Solana,74.16,43111625155,1432337856,False,True
8,TRX,TRON,0.326723,31000159393,448380695,False,False
9,FIGR_HELOC,Figure Heloc,1.003,20984036414,44870344,True,False
10,HYPE,Hyperliquid,55.48,12342250403,311431016,False,False
11,DOGE,Dogecoin,0.070247,10912588614,375298465,False,False
12,USDS,USDS,0.99993,9839419941,157993549,True,False
13,LEO,LEO Token,9.77,8991338648,247366,True,False
14,RAIN,Rain,0.01245704,8650819659,20627882,False,False
15,ZEC,Zcash,513.22,8638090933,198800180,False,False
